,,CW,¦Á,MDD,SR
HS300,MY_PO,2.059,0.178,0.16,1.328
HS300,MY_PO_EXPO,1.878,0.144,0.282,1.085
SZ50,MY_PO,1.657,0.076,0.244,0.92
SZ50,MY_PO_EXPO,1.771,0.098,0.308,0.996
ZZ500,MY_PO,3.43,0.489,0.189,1.845
ZZ500,MY_PO_EXPO,2.085,0.312,0.292,1.145
