date,buy_avg_open_price,buy_margin,buy_pnl,buy_quantity,contract_multiplier,last_price,margin,margin_rate,order_book_id,sell_avg_open_price,sell_margin,sell_pnl,sell_quantity,symbol
2017-01-03,0.0,0.0,0.0,0.0,300.0,3326.0,7483500.0,0.15,IF88,3319.348,7483500.0,-99780.0,50.0,沪深主力连续
2017-01-04,0.0,0.0,0.0,0.0,300.0,3358.4,7556400.0,0.15,IF88,3319.348,7556400.0,-585780.0,50.0,沪深主力连续
2017-01-05,0.0,0.0,0.0,0.0,300.0,3350.8,7539300.0,0.15,IF88,3319.348,7539300.0,-471780.0,50.0,沪深主力连续
2017-01-06,0.0,0.0,0.0,0.0,300.0,3336.4,7506900.0,0.15,IF88,3319.348,7506900.0,-255780.0,50.0,沪深主力连续
2017-01-09,0.0,0.0,0.0,0.0,300.0,3352.0,7542000.0,0.15,IF88,3319.348,7542000.0,-489780.0,50.0,沪深主力连续
2017-01-10,0.0,0.0,0.0,0.0,300.0,3343.6,7523100.0,0.15,IF88,3319.348,7523100.0,-363780.0,50.0,沪深主力连续
2017-01-11,0.0,0.0,0.0,0.0,300.0,3323.0,7476750.0,0.15,IF88,3319.348,7476750.0,-54780.0,50.0,沪深主力连续
2017-01-12,0.0,0.0,0.0,0.0,300.0,3300.0,7425000.0,0.15,IF88,3319.348,7425000.0,290220.0,50.0,沪深主力连续
2017-01-13,0.0,0.0,0.0,0.0,300.0,3309.2,7445700.0,0.15,IF88,3319.348,7445700.0,152220.0,50.0,沪深主力连续
2017-01-16,0.0,0.0,0.0,0.0,300.0,3301.2,7427700.0,0.15,IF88,3319.348,7427700.0,272220.0,50.0,沪深主力连续
2017-01-17,0.0,0.0,0.0,0.0,300.0,3315.4,7459650.0,0.15,IF88,3319.348,7459650.0,59220.0,50.0,沪深主力连续
2017-01-18,0.0,0.0,0.0,0.0,300.0,3345.0,7526250.0,0.15,IF88,3319.348,7526250.0,-384780.0,50.0,沪深主力连续
2017-01-19,0.0,0.0,0.0,0.0,300.0,3322.2,7474950.0,0.15,IF88,3319.348,7474950.0,-42780.0,50.0,沪深主力连续
2017-01-20,0.0,0.0,0.0,0.0,300.0,3353.0,7544250.0,0.15,IF88,3319.348,7544250.0,-504780.0,50.0,沪深主力连续
2017-01-23,0.0,0.0,0.0,0.0,300.0,3352.0,7542000.0,0.15,IF88,3319.348,7542000.0,-489780.0,50.0,沪深主力连续
2017-01-24,0.0,0.0,0.0,0.0,300.0,3353.4,7545150.0,0.15,IF88,3319.348,7545150.0,-510780.0,50.0,沪深主力连续
2017-01-25,0.0,0.0,0.0,0.0,300.0,3369.2,7580700.0,0.15,IF88,3319.348,7580700.0,-747780.0,50.0,沪深主力连续
2017-01-26,0.0,0.0,0.0,0.0,300.0,3377.6,7599600.0,0.15,IF88,3319.348,7599600.0,-873780.0,50.0,沪深主力连续
2017-02-03,0.0,0.0,0.0,0.0,300.0,3357.0,7553250.0,0.15,IF88,3319.348,7553250.0,-564780.0,50.0,沪深主力连续
2017-02-06,0.0,0.0,0.0,0.0,300.0,3354.0,7546500.0,0.15,IF88,3319.348,7546500.0,-519780.0,50.0,沪深主力连续
