con_code,weight
601138.SH,0.1295
002938.SZ,0.0721
601298.SH,0.0318
601319.SH,0.0779
603259.SH,0.0772
601066.SH,0.0675
601577.SH,0.0273
002945.SZ,0.0358
002925.SZ,0.0431
002939.SZ,0.0386
600025.SH,0.069
603260.SH,0.037
001979.SZ,0.3848
601155.SH,0.1904
601108.SH,0.2191
300498.SZ,1.2655
601228.SH,0.0607
603833.SH,0.1005
601881.SH,0.1169
300408.SZ,0.1766
300413.SZ,0.0655
603858.SH,0.0938
603019.SH,0.1794
600977.SH,0.0878
601212.SH,0.0281
603799.SH,0.1292
300433.SZ,0.0499
603160.SH,0.1195
603986.SH,0.1151
601985.SH,0.2123
601828.SH,0.0368
601021.SH,0.1255
002739.SZ,0.1121
600023.SH,0.1425
000333.SZ,2.1097
601808.SH,0.0493
601939.SH,0.399
002179.SZ,0.1578
601169.SH,0.6694
002773.SZ,0.0718
002714.SZ,0.5232
601238.SH,0.0835
603288.SH,0.6363
603993.SH,0.2131
300296.SZ,0.0997
601360.SH,0.0655
601800.SH,0.2072
601555.SH,0.1889
601225.SH,0.3048
002625.SZ,0.032
601669.SH,0.3044
002624.SZ,0.1121
300251.SZ,0.0626
002602.SZ,0.1393
002601.SZ,0.0693
002594.SZ,0.4095
603156.SH,0.1127
601992.SH,0.0944
601216.SH,0.0881
002558.SZ,0.0875
002555.SZ,0.1224
601933.SH,0.2926
601211.SH,0.6536
002736.SZ,0.2604
000166.SZ,0.3529
300144.SZ,0.1507
600919.SH,0.3835
600926.SH,0.1405
002508.SZ,0.0945
300142.SZ,0.2712
300136.SZ,0.1841
600958.SH,0.2968
002493.SZ,0.1192
600998.SH,0.0561
300122.SZ,0.1771
601818.SH,0.506
002475.SZ,0.5668
601336.SH,0.3784
601377.SH,0.2424
002468.SZ,0.0662
601018.SH,0.1384
300124.SZ,0.1995
002460.SZ,0.1467
002466.SZ,0.1395
601012.SH,0.5264
300072.SZ,0.0714
300070.SZ,0.1004
002456.SZ,0.1378
002422.SZ,0.2197
002415.SZ,0.9308
002411.SZ,0.0645
300059.SZ,0.6288
002410.SZ,0.1911
601688.SH,0.5885
002352.SZ,0.1854
300033.SZ,0.1574
300015.SZ,0.3038
300017.SZ,0.166
601877.SH,0.1674
300003.SZ,0.212
601117.SH,0.0921
601618.SH,0.169
002311.SZ,0.1944
002310.SZ,0.0771
601989.SH,0.4406
601888.SH,0.7082
600999.SH,0.3857
002294.SZ,0.0753
601727.SH,0.1515
601633.SH,0.0805
601766.SH,0.6168
601788.SH,0.1767
002271.SZ,0.1638
601668.SH,0.9902
601162.SH,0.0386
601229.SH,0.5314
601997.SH,0.1377
601838.SH,0.1231
601288.SH,1.1116
601198.SH,0.125
002673.SZ,0.1351
601878.SH,0.0943
601901.SH,0.2305
002241.SZ,0.1853
002252.SZ,0.0846
002236.SZ,0.2354
002230.SZ,0.4053
601186.SH,0.3595
601898.SH,0.0687
601899.SH,0.3513
300024.SZ,0.14
601601.SH,0.9791
002202.SZ,0.2636
601390.SH,0.3819
601857.SH,0.4239
002304.SZ,0.5552
601088.SH,0.5095
601009.SH,0.4009
002142.SZ,0.4929
601919.SH,0.1459
601600.SH,0.1966
601328.SH,1.2872
601998.SH,0.1468
000338.SZ,0.4615
601318.SH,7.6837
601166.SH,2.223
002120.SZ,0.0807
601628.SH,0.3993
601398.SH,0.9808
600018.SH,0.1896
002081.SZ,0.1436
601111.SH,0.2115
601006.SH,0.3803
600048.SH,0.8001
002146.SZ,0.1212
002153.SZ,0.0909
002065.SZ,0.1029
601988.SH,0.6287
002050.SZ,0.1208
002044.SZ,0.215
600027.SH,0.107
002032.SZ,0.0922
002027.SZ,0.4206
002024.SZ,0.3203
600482.SH,0.1381
002010.SZ,0.0826
002008.SZ,0.1979
002007.SZ,0.2005
002001.SZ,0.2189
600438.SH,0.2272
000100.SZ,0.3014
600340.SH,0.4185
600900.SH,1.0036
600406.SH,0.2802
600015.SH,0.3757
600547.SH,0.2414
600487.SH,0.172
600489.SH,0.1235
600352.SH,0.3137
600029.SH,0.1991
600271.SH,0.2064
600031.SH,0.6743
600436.SH,0.2543
600570.SH,0.3717
600004.SH,0.1492
600030.SH,1.4622
600522.SH,0.1754
600050.SH,0.4431
600516.SH,0.1532
600535.SH,0.1188
600893.SH,0.1678
600887.SH,1.5478
600886.SH,0.2376
600867.SH,0.1533
601607.SH,0.1685
600837.SH,0.9006
600816.SH,0.0837
600809.SH,0.1417
600795.SH,0.2456
600760.SH,0.1012
600741.SH,0.2934
600733.SH,0.0272
600705.SH,0.2231
600704.SH,0.0762
600703.SH,0.2315
600690.SH,0.5006
600688.SH,0.0843
600674.SH,0.1353
600663.SH,0.1049
600660.SH,0.253
600637.SH,0.1643
600606.SH,0.2065
600588.SH,0.2868
600585.SH,0.6354
600583.SH,0.0955
600566.SH,0.0768
600519.SH,3.9071
600498.SH,0.158
600415.SH,0.0869
600398.SH,0.1308
600390.SH,0.0389
600383.SH,0.2183
600372.SH,0.0633
600369.SH,0.1112
600362.SH,0.1223
600346.SH,0.105
600339.SH,0.0513
600332.SH,0.1664
600309.SH,0.5587
600299.SH,0.0265
600297.SH,0.1048
600276.SH,1.6745
600233.SH,0.038
600221.SH,0.1809
600219.SH,0.1279
600208.SH,0.1021
600196.SH,0.2116
600188.SH,0.0738
600177.SH,0.1829
600176.SH,0.1509
600170.SH,0.1357
600153.SH,0.1021
600118.SH,0.1094
600115.SH,0.1819
600111.SH,0.1956
600109.SH,0.1802
600104.SH,0.6986
600100.SH,0.1695
600089.SH,0.212
600085.SH,0.1247
600068.SH,0.135
600066.SH,0.1359
600061.SH,0.1845
600038.SH,0.1032
600036.SH,3.0265
600028.SH,0.5671
600019.SH,0.4521
600016.SH,1.2113
600011.SH,0.2414
600010.SH,0.2306
600009.SH,0.6405
600000.SH,1.1087
000963.SZ,0.1909
000961.SZ,0.1243
000938.SZ,0.0771
000898.SZ,0.0674
000895.SZ,0.1922
000876.SZ,0.3373
000858.SZ,1.8725
000786.SZ,0.1226
000783.SZ,0.2328
000776.SZ,0.3179
000768.SZ,0.1829
000728.SZ,0.1481
000725.SZ,0.7762
000709.SZ,0.0936
000703.SZ,0.1121
000671.SZ,0.086
000661.SZ,0.3632
000656.SZ,0.1056
000651.SZ,2.094
000630.SZ,0.1183
000629.SZ,0.1149
000627.SZ,0.1142
000625.SZ,0.1225
000596.SZ,0.1092
000568.SZ,0.4741
000553.SZ,0.037
000538.SZ,0.3136
000425.SZ,0.1832
000423.SZ,0.1217
000415.SZ,0.0561
000413.SZ,0.1716
000408.SZ,0.0504
000402.SZ,0.0724
000157.SZ,0.2552
000069.SZ,0.2351
000063.SZ,0.6312
000002.SZ,1.12
000001.SZ,0.9812
