con_code,weight
000423.SZ,0.123
000415.SZ,0.056
000413.SZ,0.17
000408.SZ,0.048
000402.SZ,0.073
000338.SZ,0.469
000333.SZ,2.135
000166.SZ,0.354
000157.SZ,0.255
000100.SZ,0.296
000069.SZ,0.238
000063.SZ,0.63
000002.SZ,1.124
000001.SZ,0.975
600036.SH,3.031
600031.SH,0.665
600030.SH,1.47
600029.SH,0.201
600028.SH,0.567
600027.SH,0.103
600025.SH,0.068
600023.SH,0.142
600018.SH,0.19
600016.SH,1.211
600015.SH,0.374
600019.SH,0.457
600011.SH,0.231
600010.SH,0.232
600009.SH,0.641
600004.SH,0.147
600000.SH,1.12
300498.SZ,1.21
300433.SZ,0.049
300413.SZ,0.066
300408.SZ,0.175
300296.SZ,0.101
300251.SZ,0.06
300144.SZ,0.153
300142.SZ,0.271
300136.SZ,0.177
300124.SZ,0.2
300122.SZ,0.181
300072.SZ,0.071
300070.SZ,0.1
300059.SZ,0.628
300033.SZ,0.158
300024.SZ,0.139
300017.SZ,0.166
300015.SZ,0.304
300003.SZ,0.213
002945.SZ,0.036
002939.SZ,0.039
002938.SZ,0.072
002925.SZ,0.043
002773.SZ,0.072
002739.SZ,0.109
002736.SZ,0.27
002714.SZ,0.514
002673.SZ,0.136
002625.SZ,0.032
002624.SZ,0.111
002602.SZ,0.138
002601.SZ,0.069
002594.SZ,0.408
002558.SZ,0.087
002555.SZ,0.122
002508.SZ,0.095
002493.SZ,0.12
002475.SZ,0.557
002468.SZ,0.073
002466.SZ,0.128
002460.SZ,0.139
002456.SZ,0.129
002422.SZ,0.218
002415.SZ,0.928
002411.SZ,0.066
002410.SZ,0.191
002352.SZ,0.185
002311.SZ,0.193
002310.SZ,0.076
002304.SZ,0.565
002294.SZ,0.075
002271.SZ,0.166
002252.SZ,0.085
002241.SZ,0.183
002236.SZ,0.233
002230.SZ,0.407
002202.SZ,0.265
002179.SZ,0.153
002153.SZ,0.092
002146.SZ,0.122
002142.SZ,0.494
002120.SZ,0.082
002081.SZ,0.142
002065.SZ,0.101
002050.SZ,0.121
002044.SZ,0.214
002032.SZ,0.091
002027.SZ,0.418
002024.SZ,0.321
002010.SZ,0.083
002008.SZ,0.201
002001.SZ,0.218
001979.SZ,0.393
000963.SZ,0.194
002007.SZ,0.203
000961.SZ,0.129
000938.SZ,0.074
000898.SZ,0.067
000895.SZ,0.191
000876.SZ,0.328
000858.SZ,1.883
000786.SZ,0.122
000783.SZ,0.231
000776.SZ,0.319
000768.SZ,0.183
000728.SZ,0.148
000725.SZ,0.772
000709.SZ,0.094
000703.SZ,0.111
000671.SZ,0.086
000661.SZ,0.363
000656.SZ,0.107
000651.SZ,2.131
000630.SZ,0.118
000629.SZ,0.116
000627.SZ,0.113
000625.SZ,0.124
000596.SZ,0.11
000568.SZ,0.475
000553.SZ,0.037
000538.SZ,0.312
000425.SZ,0.184
603993.SH,0.206
603986.SH,0.121
603858.SH,0.093
603833.SH,0.105
603799.SH,0.122
603288.SH,0.651
603260.SH,0.036
603259.SH,0.077
603160.SH,0.118
603156.SH,0.113
603019.SH,0.18
601998.SH,0.146
601997.SH,0.138
601992.SH,0.094
601989.SH,0.441
601988.SH,0.629
601985.SH,0.211
601939.SH,0.398
601933.SH,0.298
601919.SH,0.146
601901.SH,0.23
601899.SH,0.356
601898.SH,0.069
601888.SH,0.71
601881.SH,0.118
601878.SH,0.095
601877.SH,0.166
601857.SH,0.424
601838.SH,0.123
601828.SH,0.037
601818.SH,0.503
601808.SH,0.049
601800.SH,0.207
601788.SH,0.178
601766.SH,0.616
601727.SH,0.151
601688.SH,0.595
601669.SH,0.305
601668.SH,0.994
601633.SH,0.081
601628.SH,0.398
601618.SH,0.169
601607.SH,0.168
601601.SH,0.975
601600.SH,0.197
601577.SH,0.027
601555.SH,0.191
601398.SH,0.978
601390.SH,0.381
601377.SH,0.245
601360.SH,0.066
601336.SH,0.372
601328.SH,1.283
601319.SH,0.078
601318.SH,7.67
601298.SH,0.032
601288.SH,1.109
601238.SH,0.083
601229.SH,0.532
601228.SH,0.06
601225.SH,0.304
601216.SH,0.088
601212.SH,0.029
601211.SH,0.656
601198.SH,0.125
601186.SH,0.359
601169.SH,0.67
601166.SH,2.236
601162.SH,0.039
601155.SH,0.191
601138.SH,0.131
601117.SH,0.092
601111.SH,0.215
601108.SH,0.221
