date,buy_avg_open_price,buy_margin,buy_pnl,buy_quantity,contract_multiplier,last_price,margin,margin_rate,order_book_id,sell_avg_open_price,sell_margin,sell_pnl,sell_quantity,symbol
2017-01-03,0.0,0.0,0.0,0.0,200.0,6275.8,25103200.0,0.4,IC88,6263.248,25103200.0,-125516.0,50.0,中证主力连续
2017-01-04,0.0,0.0,0.0,0.0,200.0,6367.0,25468000.0,0.4,IC88,6263.248,25468000.0,-1037516.0,50.0,中证主力连续
2017-01-05,0.0,0.0,0.0,0.0,200.0,6359.0,25436000.0,0.4,IC88,6263.248,25436000.0,-957516.0,50.0,中证主力连续
2017-01-06,0.0,0.0,0.0,0.0,200.0,6339.0,25356000.0,0.4,IC88,6263.248,25356000.0,-757516.0,50.0,中证主力连续
2017-01-09,0.0,0.0,0.0,0.0,200.0,6373.8,25495200.0,0.4,IC88,6263.248,25495200.0,-1105516.0,50.0,中证主力连续
2017-01-10,0.0,0.0,0.0,0.0,200.0,6344.6,25378400.0,0.4,IC88,6263.248,25378400.0,-813516.0,50.0,中证主力连续
2017-01-11,0.0,0.0,0.0,0.0,200.0,6297.6,25190400.0,0.4,IC88,6263.248,25190400.0,-343516.0,50.0,中证主力连续
2017-01-12,0.0,0.0,0.0,0.0,200.0,6238.4,24953600.0,0.4,IC88,6263.248,24953600.0,248484.0,50.0,中证主力连续
2017-01-13,0.0,0.0,0.0,0.0,200.0,6178.4,24713600.0,0.4,IC88,6263.248,24713600.0,848484.0,50.0,中证主力连续
2017-01-16,0.0,0.0,0.0,0.0,200.0,6011.4,24045600.0,0.4,IC88,6263.248,24045600.0,2518484.0,50.0,中证主力连续
2017-01-17,0.0,0.0,0.0,0.0,200.0,6065.0,24260000.0,0.4,IC88,6263.248,24260000.0,1982484.0,50.0,中证主力连续
2017-01-18,0.0,0.0,0.0,0.0,200.0,6073.8,24295200.0,0.4,IC88,6263.248,24295200.0,1894484.0,50.0,中证主力连续
2017-01-19,0.0,0.0,0.0,0.0,200.0,5995.0,23980000.0,0.4,IC88,6263.248,23980000.0,2682484.0,50.0,中证主力连续
2017-01-20,0.0,0.0,0.0,0.0,200.0,6082.8,24331200.0,0.4,IC88,6263.248,24331200.0,1804484.0,50.0,中证主力连续
2017-01-23,0.0,0.0,0.0,0.0,200.0,6114.2,24456800.0,0.4,IC88,6263.248,24456800.0,1490484.0,50.0,中证主力连续
2017-01-24,0.0,0.0,0.0,0.0,200.0,6123.0,24492000.0,0.4,IC88,6263.248,24492000.0,1402484.0,50.0,中证主力连续
2017-01-25,0.0,0.0,0.0,0.0,200.0,6155.0,24620000.0,0.4,IC88,6263.248,24620000.0,1082484.0,50.0,中证主力连续
2017-01-26,0.0,0.0,0.0,0.0,200.0,6188.8,24755200.0,0.4,IC88,6263.248,24755200.0,744484.0,50.0,中证主力连续
2017-02-03,0.0,0.0,0.0,0.0,200.0,6165.0,24660000.0,0.4,IC88,6263.248,24660000.0,982484.0,50.0,中证主力连续
2017-02-06,0.0,0.0,0.0,0.0,200.0,6199.6,24798400.0,0.4,IC88,6263.248,24798400.0,636484.0,50.0,中证主力连续
2017-02-07,0.0,0.0,0.0,0.0,200.0,6187.4,24749600.0,0.4,IC88,6263.248,24749600.0,758484.0,50.0,中证主力连续
2017-02-08,0.0,0.0,0.0,0.0,200.0,6246.6,24986400.0,0.4,IC88,6263.248,24986400.0,166484.0,50.0,中证主力连续
2017-02-09,0.0,0.0,0.0,0.0,200.0,6284.8,25139200.0,0.4,IC88,6263.248,25139200.0,-215516.0,50.0,中证主力连续
2017-02-10,0.0,0.0,0.0,0.0,200.0,6294.2,25176800.0,0.4,IC88,6263.248,25176800.0,-309516.0,50.0,中证主力连续
2017-02-13,0.0,0.0,0.0,0.0,200.0,6330.2,25320800.0,0.4,IC88,6263.248,25320800.0,-669516.0,50.0,中证主力连续
2017-02-14,0.0,0.0,0.0,0.0,200.0,6253.0,25012000.0,0.4,IC88,6263.248,25012000.0,102484.0,50.0,中证主力连续
2017-02-15,0.0,0.0,0.0,0.0,200.0,6200.2,24800800.0,0.4,IC88,6263.248,24800800.0,630484.0,50.0,中证主力连续
2017-02-16,0.0,0.0,0.0,0.0,200.0,6260.4,25041600.0,0.4,IC88,6263.248,25041600.0,28484.0,50.0,中证主力连续
2017-02-17,0.0,0.0,0.0,0.0,200.0,6213.0,24852000.0,0.4,IC88,6263.248,24852000.0,502484.0,50.0,中证主力连续
2017-02-20,0.0,0.0,0.0,0.0,200.0,6313.8,25255200.0,0.4,IC88,6263.248,25255200.0,-505516.0,50.0,中证主力连续
2017-02-21,0.0,0.0,0.0,0.0,200.0,6341.0,25364000.0,0.4,IC88,6263.248,25364000.0,-777516.0,50.0,中证主力连续
2017-02-22,0.0,0.0,0.0,0.0,200.0,6389.6,25558400.0,0.4,IC88,6263.248,25558400.0,-1263516.0,50.0,中证主力连续
2017-02-23,0.0,0.0,0.0,0.0,200.0,6397.6,25590400.0,0.4,IC88,6263.248,25590400.0,-1343516.0,50.0,中证主力连续
2017-02-24,0.0,0.0,0.0,0.0,200.0,6410.6,25642400.0,0.4,IC88,6263.248,25642400.0,-1473516.0,50.0,中证主力连续
2017-02-27,0.0,0.0,0.0,0.0,200.0,6348.0,25392000.0,0.4,IC88,6263.248,25392000.0,-847516.0,50.0,中证主力连续
2017-02-28,0.0,0.0,0.0,0.0,200.0,6376.4,25505600.0,0.4,IC88,6263.248,25505600.0,-1131516.0,50.0,中证主力连续
2017-03-01,0.0,0.0,0.0,0.0,200.0,6397.8,25591200.0,0.4,IC88,6263.248,25591200.0,-1345516.0,50.0,中证主力连续
2017-03-02,0.0,0.0,0.0,0.0,200.0,6390.0,25560000.0,0.4,IC88,6263.248,25560000.0,-1267516.0,50.0,中证主力连续
2017-03-03,0.0,0.0,0.0,0.0,200.0,6393.0,25572000.0,0.4,IC88,6263.248,25572000.0,-1297516.0,50.0,中证主力连续
2017-03-06,0.0,0.0,0.0,0.0,200.0,6459.8,25839200.0,0.4,IC88,6263.248,25839200.0,-1965516.0,50.0,中证主力连续
2017-03-07,0.0,0.0,0.0,0.0,200.0,6465.0,25860000.0,0.4,IC88,6263.248,25860000.0,-2017516.0,50.0,中证主力连续
2017-03-08,0.0,0.0,0.0,0.0,200.0,6449.6,25798400.0,0.4,IC88,6263.248,25798400.0,-1863516.0,50.0,中证主力连续
2017-03-09,0.0,0.0,0.0,0.0,200.0,6390.8,25563200.0,0.4,IC88,6263.248,25563200.0,-1275516.0,50.0,中证主力连续
2017-03-10,0.0,0.0,0.0,0.0,200.0,6410.4,25641600.0,0.4,IC88,6263.248,25641600.0,-1471516.0,50.0,中证主力连续
2017-03-13,0.0,0.0,0.0,0.0,200.0,6484.6,25938400.0,0.4,IC88,6263.248,25938400.0,-2213516.0,50.0,中证主力连续
2017-03-14,0.0,0.0,0.0,0.0,200.0,6470.0,25880000.0,0.4,IC88,6263.248,25880000.0,-2067516.0,50.0,中证主力连续
2017-03-15,0.0,0.0,0.0,0.0,200.0,6466.4,25865600.0,0.4,IC88,6263.248,25865600.0,-2031516.0,50.0,中证主力连续
2017-03-16,0.0,0.0,0.0,0.0,200.0,6469.4,25877600.0,0.4,IC88,6263.248,25877600.0,-2061516.0,50.0,中证主力连续
2017-03-17,0.0,0.0,0.0,0.0,200.0,6410.0,25640000.0,0.4,IC88,6263.248,25640000.0,-1467516.0,50.0,中证主力连续
