con_code,weight
603888.SH,0.112
603883.SH,0.128
603877.SH,0.036
603868.SH,0.069
603866.SH,0.054
603816.SH,0.107
603806.SH,0.059
603799.SH,0.578
603766.SH,0.193
603698.SH,0.07
603658.SH,0.045
603589.SH,0.322
603569.SH,0.032
603568.SH,0.07
603567.SH,0.067
603556.SH,0.115
603528.SH,0.053
603515.SH,0.064
603444.SH,0.113
603377.SH,0.098
603369.SH,0.141
603355.SH,0.091
603328.SH,0.067
603228.SH,0.057
603198.SH,0.111
603188.SH,0.152
603169.SH,0.081
603077.SH,0.191
603025.SH,0.034
603019.SH,0.263
603005.SH,0.077
603001.SH,0.069
603000.SH,0.191
601929.SH,0.182
601928.SH,0.175
601886.SH,0.115
601880.SH,0.221
601811.SH,0.036
601777.SH,0.124
601717.SH,0.165
601699.SH,0.322
601689.SH,0.154
601678.SH,0.207
601311.SH,0.148
601233.SH,0.133
601231.SH,0.236
601168.SH,0.411
601020.SH,0.064
601016.SH,0.153
601012.SH,0.609
601002.SH,0.114
601001.SH,0.15
601000.SH,0.295
600996.SH,0.093
600993.SH,0.145
600978.SH,0.301
600971.SH,0.15
600970.SH,0.212
600967.SH,0.221
600936.SH,0.064
600917.SH,0.039
600894.SH,0.119
600884.SH,0.286
600881.SH,0.205
600880.SH,0.117
600879.SH,0.356
600874.SH,0.185
600872.SH,0.286
600869.SH,0.109
600863.SH,0.223
600862.SH,0.113
600859.SH,0.119
600848.SH,0.185
600839.SH,0.319
600835.SH,0.152
600831.SH,0.09
600826.SH,0.089
600811.SH,0.225
600809.SH,0.287
600808.SH,0.376
600805.SH,0.124
600801.SH,0.155
600790.SH,0.12
600787.SH,0.242
600776.SH,0.079
600773.SH,0.131
600770.SH,0.141
600765.SH,0.162
600759.SH,0.14
600757.SH,0.113
600755.SH,0.332
600754.SH,0.114
600751.SH,0.191
600750.SH,0.132
600748.SH,0.093
600743.SH,0.097
600736.SH,0.123
600729.SH,0.151
600720.SH,0.159
600315.SH,0.395
600312.SH,0.193
600307.SH,0.241
600300.SH,0.149
600298.SH,0.231
600292.SH,0.099
600291.SH,0.491
600289.SH,0.12
600284.SH,0.144
600282.SH,0.283
600280.SH,0.11
600277.SH,0.152
600270.SH,0.162
600267.SH,0.173
600266.SH,0.321
600260.SH,0.316
600259.SH,0.178
600251.SH,0.091
600240.SH,0.259
600220.SH,0.118
600219.SH,0.527
600216.SH,0.141
600201.SH,0.483
600200.SH,0.184
600198.SH,0.222
600195.SH,0.096
600187.SH,0.145
600184.SH,0.097
600183.SH,0.25
600176.SH,0.428
600171.SH,0.163
600169.SH,0.169
600166.SH,0.322
600161.SH,0.263
600160.SH,0.235
600158.SH,0.227
600151.SH,0.159
600143.SH,0.219
600141.SH,0.158
600138.SH,0.286
600126.SH,0.072
600125.SH,0.313
600122.SH,0.225
600120.SH,0.206
600108.SH,0.167
600098.SH,0.144
600094.SH,0.203
600086.SH,0.166
600079.SH,0.394
600073.SH,0.156
600064.SH,0.201
600062.SH,0.219
600059.SH,0.111
600058.SH,0.143
600056.SH,0.304
600053.SH,0.105
600039.SH,0.196
600026.SH,0.216
600022.SH,0.385
600017.SH,0.2
600006.SH,0.112
300383.SZ,0.268
300376.SZ,0.143
300324.SZ,0.216
300297.SZ,0.124
300296.SZ,0.364
300291.SZ,0.192
300287.SZ,0.177
300274.SZ,0.214
300273.SZ,0.143
300266.SZ,0.341
300257.SZ,0.157
300253.SZ,0.212
300244.SZ,0.213
300202.SZ,0.113
300199.SZ,0.18
300166.SZ,0.215
300159.SZ,0.217
300156.SZ,0.348
300147.SZ,0.11
300146.SZ,0.255
300136.SZ,0.777
300134.SZ,0.213
300122.SZ,0.274
300116.SZ,0.174
300115.SZ,0.456
300113.SZ,0.211
300088.SZ,0.425
300058.SZ,0.234
300055.SZ,0.265
300043.SZ,0.116
300039.SZ,0.114
600717.SH,0.241
600699.SH,0.294
600694.SH,0.163
600687.SH,0.196
600673.SH,0.299
600664.SH,0.212
600657.SH,0.104
600655.SH,0.271
600651.SH,0.157
600648.SH,0.16
600645.SH,0.173
600643.SH,0.485
600642.SH,0.398
600640.SH,0.108
600639.SH,0.145
600635.SH,0.246
600633.SH,0.232
600628.SH,0.112
600618.SH,0.066
600614.SH,0.319
600611.SH,0.164
600600.SH,0.265
600597.SH,0.19
600596.SH,0.152
600594.SH,0.204
600587.SH,0.138
600586.SH,0.131
600584.SH,0.374
600582.SH,0.197
600580.SH,0.113
600572.SH,0.207
600566.SH,0.202
600565.SH,0.182
600563.SH,0.181
600557.SH,0.166
600551.SH,0.071
600545.SH,0.14
600537.SH,0.096
600536.SH,0.13
600528.SH,0.308
600525.SH,0.561
600521.SH,0.315
600517.SH,0.116
600516.SH,0.794
600511.SH,0.227
600503.SH,0.279
600500.SH,0.271
600499.SH,0.262
600496.SH,0.144
600487.SH,0.644
600481.SH,0.1
600478.SH,0.205
600466.SH,0.191
600460.SH,0.117
600458.SH,0.13
600435.SH,0.328
600428.SH,0.143
600426.SH,0.301
600422.SH,0.141
600418.SH,0.219
600416.SH,0.167
600410.SH,0.201
600409.SH,0.316
600395.SH,0.134
600392.SH,0.47
600388.SH,0.308
600380.SH,0.179
600366.SH,0.178
600348.SH,0.243
600338.SH,0.143
600335.SH,0.092
600329.SH,0.121
600325.SH,0.319
600316.SH,0.18
002340.SZ,0.474
002332.SZ,0.126
002325.SZ,0.133
002317.SZ,0.138
002315.SZ,0.059
002311.SZ,0.284
002309.SZ,0.106
002308.SZ,0.192
002285.SZ,0.239
002281.SZ,0.156
002277.SZ,0.108
002276.SZ,0.17
002273.SZ,0.344
002271.SZ,0.446
002269.SZ,0.118
002268.SZ,0.171
002266.SZ,0.182
002261.SZ,0.152
002254.SZ,0.137
002251.SZ,0.078
002250.SZ,0.169
002249.SZ,0.158
002244.SZ,0.255
002242.SZ,0.141
002233.SZ,0.117
002223.SZ,0.244
002221.SZ,0.222
002217.SZ,0.321
002194.SZ,0.049
002191.SZ,0.202
002190.SZ,0.107
002179.SZ,0.312
002176.SZ,0.383
002155.SZ,0.18
002147.SZ,0.109
002128.SZ,0.219
002127.SZ,0.267
002123.SZ,0.137
002122.SZ,0.185
002120.SZ,0.114
002118.SZ,0.082
002106.SZ,0.149
002093.SZ,0.089
002092.SZ,0.512
002078.SZ,0.311
002073.SZ,0.143
002064.SZ,0.158
002063.SZ,0.128
002056.SZ,0.178
002051.SZ,0.22
002050.SZ,0.343
002048.SZ,0.216
002041.SZ,0.112
002038.SZ,0.256
002030.SZ,0.243
002028.SZ,0.179
002022.SZ,0.169
002019.SZ,0.297
002018.SZ,0.152
002013.SZ,0.25
002011.SZ,0.14
002005.SZ,0.11
002004.SZ,0.266
002002.SZ,0.182
002001.SZ,0.285
001696.SZ,0.122
000999.SZ,0.264
000998.SZ,0.414
000997.SZ,0.376
000988.SZ,0.236
000979.SZ,0.232
000975.SZ,0.222
000970.SZ,0.34
000969.SZ,0.146
000960.SZ,0.261
000939.SZ,0.196
000937.SZ,0.178
000930.SZ,0.294
000926.SZ,0.225
000897.SZ,0.138
000878.SZ,0.306
000877.SZ,0.189
000860.SZ,0.188
000848.SZ,0.13
000830.SZ,0.242
000829.SZ,0.147
000825.SZ,0.297
000816.SZ,0.19
000810.SZ,0.135
000806.SZ,0.169
000786.SZ,0.357
000778.SZ,0.325
000777.SZ,0.131
000766.SZ,0.128
000762.SZ,0.164
000761.SZ,0.046
000758.SZ,0.225
000732.SZ,0.193
000729.SZ,0.22
000727.SZ,0.183
000726.SZ,0.128
000712.SZ,0.201
000703.SZ,0.19
000697.SZ,0.225
000690.SZ,0.286
000685.SZ,0.233
000681.SZ,0.119
000680.SZ,0.141
000669.SZ,0.134
000667.SZ,0.206
000662.SZ,0.096
000661.SZ,0.438
000656.SZ,0.317
000652.SZ,0.134
000636.SZ,0.16
000620.SZ,0.129
000616.SZ,0.124
000612.SZ,0.201
000600.SZ,0.211
