con_code,weight
000028.SZ,0.237
600811.SH,0.288
600790.SH,0.13
000652.SZ,0.143
002317.SZ,0.143
000636.SZ,0.141
000693.SZ,0.1
000748.SZ,0.34
002505.SZ,0.167
300026.SZ,0.169
600655.SH,0.324
600704.SH,0.239
600426.SH,0.228
600522.SH,0.491
000973.SZ,0.192
002174.SZ,0.306
600141.SH,0.099
600594.SH,0.29
002390.SZ,0.181
600300.SH,0.153
600967.SH,0.201
000600.SZ,0.193
600993.SH,0.174
600397.SH,0.089
600325.SH,0.227
600509.SH,0.115
600428.SH,0.15
000869.SZ,0.153
603589.SH,0.063
600483.SH,0.075
600601.SH,0.279
002250.SZ,0.236
600743.SH,0.102
002050.SZ,0.238
601880.SH,0.221
002503.SZ,0.147
000979.SZ,0.148
002714.SZ,0.239
000582.SZ,0.042
000519.SZ,0.174
002344.SZ,0.159
600006.SH,0.149
300182.SZ,0.261
600971.SH,0.08
601908.SH,0.114
002308.SZ,0.266
600805.SH,0.166
300199.SZ,0.247
603366.SH,0.08
600169.SH,0.2
600260.SH,0.187
600748.SH,0.123
600251.SH,0.105
002242.SZ,0.164
600410.SH,0.288
600316.SH,0.235
600220.SH,0.175
600497.SH,0.238
600643.SH,0.319
000006.SZ,0.206
603899.SH,0.072
002663.SZ,0.148
002653.SZ,0.154
603699.SH,0.112
600874.SH,0.099
002325.SZ,0.211
002315.SZ,0.087
000650.SZ,0.192
600729.SH,0.15
600329.SH,0.113
600198.SH,0.277
002332.SZ,0.113
002238.SZ,0.078
000786.SZ,0.149
002223.SZ,0.277
600004.SH,0.166
603005.SH,0.089
300043.SZ,0.29
600797.SH,0.244
000592.SZ,0.222
000418.SZ,0.194
600759.SH,0.277
600026.SH,0.252
600510.SH,0.074
600617.SH,0.1
600780.SH,0.07
601515.SH,0.106
600521.SH,0.445
002161.SZ,0.249
000961.SZ,0.23
002698.SZ,0.111
600056.SH,0.23
600160.SH,0.269
002266.SZ,0.219
600289.SH,0.181
600112.SH,0.131
600580.SH,0.16
600651.SH,0.226
001696.SZ,0.206
600337.SH,0.139
000861.SZ,0.172
002603.SZ,0.206
603567.SH,0.121
600546.SH,0.09
002122.SZ,0.111
600823.SH,0.168
600183.SH,0.204
600435.SH,0.243
000050.SZ,0.35
300088.SZ,0.338
600079.SH,0.442
601369.SH,0.124
300147.SZ,0.194
601678.SH,0.12
000719.SZ,0.049
002001.SZ,0.323
600460.SH,0.159
000401.SZ,0.174
000417.SZ,0.126
000550.SZ,0.148
601311.SH,0.22
000062.SZ,0.163
600201.SH,0.468
002028.SZ,0.161
000667.SZ,0.218
600456.SH,0.105
002078.SZ,0.146
002479.SZ,0.151
002573.SZ,0.348
600757.SH,0.162
600596.SH,0.118
002204.SZ,0.093
000511.SZ,0.304
000587.SZ,0.184
600468.SH,0.087
002004.SZ,0.334
000975.SZ,0.24
002657.SZ,0.269
000762.SZ,0.314
002281.SZ,0.148
603355.SH,0.048
002073.SZ,0.214
002466.SZ,0.784
600831.SH,0.146
002051.SZ,0.209
000543.SZ,0.216
600282.SH,0.14
600478.SH,0.326
000030.SZ,0.108
002405.SZ,0.539
600219.SH,0.405
600500.SH,0.277
600348.SH,0.22
600694.SH,0.343
002180.SZ,0.245
600184.SH,0.102
000671.SZ,0.215
600425.SH,0.107
600267.SH,0.197
300253.SZ,0.378
000612.SZ,0.148
600673.SH,0.332
601001.SH,0.12
601002.SH,0.114
601666.SH,0.142
002327.SZ,0.104
600657.SH,0.113
002551.SZ,0.145
002311.SZ,0.308
000513.SZ,0.159
000552.SZ,0.048
600970.SH,0.199
600776.SH,0.088
002430.SZ,0.054
600885.SH,0.228
600859.SH,0.17
002221.SZ,0.199
002437.SZ,0.242
600750.SH,0.162
002672.SZ,0.207
600751.SH,0.056
000933.SZ,0.136
600481.SH,0.138
002498.SZ,0.174
600816.SH,0.439
002106.SZ,0.173
002267.SZ,0.101
600039.SH,0.207
600086.SH,0.173
600566.SH,0.163
600125.SH,0.171
601139.SH,0.101
002219.SZ,0.333
000852.SZ,0.062
600537.SH,0.127
300072.SZ,0.462
000697.SZ,0.287
