con_code,weight
600240.SH,0.269
000861.SZ,0.15
000028.SZ,0.216
000158.SZ,0.143
000400.SZ,0.251
600801.SH,0.083
002106.SZ,0.158
600586.SH,0.118
600059.SH,0.134
600478.SH,0.316
002155.SZ,0.241
002551.SZ,0.137
600284.SH,0.156
600565.SH,0.245
600776.SH,0.108
600422.SH,0.203
002078.SZ,0.167
000631.SZ,0.096
002038.SZ,0.334
002238.SZ,0.072
002503.SZ,0.135
002572.SZ,0.399
002063.SZ,0.196
600397.SH,0.082
000829.SZ,0.207
002340.SZ,0.481
000975.SZ,0.262
600993.SH,0.169
002064.SZ,0.13
600180.SH,0.124
002271.SZ,0.231
600755.SH,0.249
000998.SZ,0.321
600614.SH,0.199
600395.SH,0.147
600720.SH,0.112
600594.SH,0.272
601777.SH,0.199
002508.SZ,0.361
600289.SH,0.17
002477.SZ,0.252
600496.SH,0.138
000810.SZ,0.194
600325.SH,0.209
603328.SH,0.117
002345.SZ,0.111
603766.SH,0.228
600757.SH,0.137
600064.SH,0.217
600277.SH,0.167
000669.SZ,0.153
600426.SH,0.207
600280.SH,0.104
600380.SH,0.196
000099.SZ,0.148
000572.SZ,0.161
600435.SH,0.267
600498.SH,0.342
600158.SH,0.322
000748.SZ,0.344
002482.SZ,0.127
600717.SH,0.196
600006.SH,0.191
002344.SZ,0.147
600639.SH,0.171
600120.SH,0.177
000088.SZ,0.135
600687.SH,0.26
600572.SH,0.219
600004.SH,0.152
600826.SH,0.148
002011.SZ,0.167
002439.SZ,0.362
002285.SZ,0.171
601000.SH,0.169
300072.SZ,0.441
600220.SH,0.175
000816.SZ,0.18
300113.SZ,0.418
000418.SZ,0.194
002371.SZ,0.198
600507.SH,0.068
000541.SZ,0.163
600664.SH,0.334
002635.SZ,0.161
002223.SZ,0.285
600138.SH,0.301
000543.SZ,0.206
600635.SH,0.32
603355.SH,0.045
300115.SZ,0.248
600366.SH,0.25
600864.SH,0.099
000563.SZ,0.183
000616.SZ,0.205
600151.SH,0.266
600748.SH,0.11
601233.SH,0.108
600557.SH,0.19
600266.SH,0.316
600759.SH,0.231
002299.SZ,0.31
600175.SH,0.181
603005.SH,0.092
601666.SH,0.13
600094.SH,0.278
600086.SH,0.176
000596.SZ,0.148
002002.SZ,0.197
002092.SZ,0.242
002440.SZ,0.184
601001.SH,0.121
600618.SH,0.079
300166.SZ,0.238
002161.SZ,0.207
300039.SZ,0.136
600808.SH,0.193
600522.SH,0.482
002463.SZ,0.143
600171.SH,0.252
600510.SH,0.074
002074.SZ,0.279
002498.SZ,0.155
002589.SZ,0.183
000598.SZ,0.255
000062.SZ,0.157
600053.SH,0.121
601929.SH,0.236
000680.SZ,0.132
600743.SH,0.093
603169.SH,0.103
000652.SZ,0.128
600198.SH,0.283
600536.SH,0.199
600183.SH,0.179
600537.SH,0.171
002028.SZ,0.155
002001.SZ,0.31
300291.SZ,0.224
002325.SZ,0.208
600825.SH,0.112
600580.SH,0.194
002602.SZ,0.102
002310.SZ,0.325
002281.SZ,0.181
600088.SH,0.085
002332.SZ,0.11
600809.SH,0.155
600017.SH,0.201
600329.SH,0.106
601801.SH,0.114
000983.SZ,0.345
000090.SZ,0.142
600410.SH,0.271
600500.SH,0.253
600509.SH,0.125
002505.SZ,0.173
300032.SZ,0.183
300244.SZ,0.291
000970.SZ,0.333
000926.SZ,0.18
600917.SH,0.046
600880.SH,0.175
000758.SZ,0.246
600039.SH,0.192
600729.SH,0.163
002461.SZ,0.064
002512.SZ,0.239
600881.SH,0.236
002266.SZ,0.199
603025.SH,0.044
600125.SH,0.157
002573.SZ,0.291
000762.SZ,0.277
600859.SH,0.148
000900.SZ,0.128
300026.SZ,0.235
002181.SZ,0.103
002342.SZ,0.105
002396.SZ,0.171
000930.SZ,0.285
000030.SZ,0.097
600596.SH,0.107
601002.SH,0.111
002051.SZ,0.245
600750.SH,0.154
600112.SH,0.153
002353.SZ,0.248
600161.SH,0.193
002428.SZ,0.211
000681.SZ,0.178
002437.SZ,0.206
600428.SH,0.13
002022.SZ,0.235
600551.SH,0.109
002293.SZ,0.103
600348.SH,0.206
600751.SH,0.211
000988.SZ,0.336
600481.SH,0.125
002029.SZ,0.124
600611.SH,0.229
002093.SZ,0.144
600823.SH,0.147
000897.SZ,0.135
000961.SZ,0.168
601226.SH,0.085
600176.SH,0.25
600584.SH,0.565
002128.SZ,0.132
600184.SH,0.093
601717.SH,0.148
600468.SH,0.082
300010.SZ,0.259
603019.SH,0.321
600651.SH,0.235
002191.SZ,0.287
600850.SH,0.161
300134.SZ,0.21
002261.SZ,0.166
002311.SZ,0.261
002244.SZ,0.168
000973.SZ,0.217
603589.SH,0.058
002657.SZ,0.249
002714.SZ,0.281
603077.SH,0.132
002366.SZ,0.249
000979.SZ,0.265
002317.SZ,0.143
601311.SH,0.227
002642.SZ,0.18
000049.SZ,0.139
002375.SZ,0.203
600754.SH,0.175
000550.SZ,0.136
600563.SH,0.165
600458.SH,0.168
600851.SH,0.264
600169.SH,0.178
601155.SH,0.221
601908.SH,0.124
600633.SH,0.24
600418.SH,0.299
002041.SZ,0.147
600521.SH,0.405
002392.SZ,0.08
600132.SH,0.099
002268.SZ,0.25
002408.SZ,0.105
300273.SZ,0.244
600694.SH,0.183
601515.SH,0.101
603001.SH,0.092
002217.SZ,0.234
000417.SZ,0.119
002663.SZ,0.169
600517.SH,0.173
600516.SH,0.254
002249.SZ,0.084
600970.SH,0.178
600673.SH,0.291
000587.SZ,0.176
002640.SZ,0.183
000685.SZ,0.206
002354.SZ,0.206
000727.SZ,0.241
600416.SH,0.175
000426.SZ,0.121
002603.SZ,0.193
300257.SZ,0.153
002745.SZ,0.072
600312.SH,0.288
002131.SZ,0.347
002048.SZ,0.261
300147.SZ,0.183
002233.SZ,0.077
600773.SH,0.184
000592.SZ,0.211
002405.SZ,0.565
601168.SH,0.304
002588.SZ,0.155
002327.SZ,0.095
600831.SH,0.138
000937.SZ,0.152
002390.SZ,0.17
600835.SH,0.167
002221.SZ,0.274
300274.SZ,0.259
002030.SZ,0.38
002431.SZ,0.213
000848.SZ,0.189
000969.SZ,0.194
601010.SH,0.181
600436.SH,0.365
600874.SH,0.091
002368.SZ,0.199
600497.SH,0.231
600300.SH,0.134
600699.SH,0.355
600682.SH,0.381
600761.SH,0.117
000517.SZ,0.083
001696.SZ,0.202
000006.SZ,0.187
603567.SH,0.1
002410.SZ,0.258
000887.SZ,0.361
000401.SZ,0.158
000830.SZ,0.125
002273.SZ,0.345
000671.SZ,0.259
601012.SH,0.374
603698.SH,0.091
002194.SZ,0.096
