con_code,weight
603883.SH,0.119
603868.SH,0.054
603866.SH,0.047
603806.SH,0.094
603766.SH,0.225
603698.SH,0.09
603589.SH,0.261
603568.SH,0.086
603567.SH,0.088
603555.SH,0.095
603528.SH,0.099
603377.SH,0.044
603369.SH,0.129
603355.SH,0.093
603328.SH,0.074
603198.SH,0.128
603188.SH,0.157
603169.SH,0.101
603077.SH,0.148
603025.SH,0.043
603019.SH,0.201
603005.SH,0.083
603001.SH,0.088
601929.SH,0.228
601908.SH,0.099
601886.SH,0.119
601880.SH,0.224
601801.SH,0.19
601777.SH,0.145
601717.SH,0.189
601699.SH,0.268
601689.SH,0.148
601678.SH,0.148
601311.SH,0.174
601233.SH,0.146
601231.SH,0.167
601168.SH,0.368
601016.SH,0.088
601012.SH,0.432
601010.SH,0.165
601002.SH,0.111
601001.SH,0.135
601000.SH,0.253
600993.SH,0.157
600981.SH,0.055
600978.SH,0.327
600971.SH,0.094
600970.SH,0.206
600967.SH,0.241
600917.SH,0.055
600894.SH,0.147
600884.SH,0.194
600881.SH,0.27
600880.SH,0.156
600879.SH,0.337
600874.SH,0.093
600872.SH,0.208
600869.SH,0.13
600864.SH,0.082
600863.SH,0.234
600862.SH,0.128
600859.SH,0.125
600851.SH,0.217
600850.SH,0.129
600848.SH,0.162
600835.SH,0.165
600831.SH,0.119
600826.SH,0.145
600825.SH,0.116
600823.SH,0.143
600811.SH,0.258
600809.SH,0.19
600808.SH,0.254
600805.SH,0.146
600801.SH,0.119
600790.SH,0.13
600787.SH,0.264
600776.SH,0.103
600773.SH,0.145
600770.SH,0.193
600765.SH,0.181
600759.SH,0.226
600757.SH,0.131
600755.SH,0.253
600751.SH,0.252
600750.SH,0.142
600748.SH,0.117
600743.SH,0.108
600736.SH,0.15
600729.SH,0.151
600720.SH,0.162
600717.SH,0.229
600699.SH,0.293
600694.SH,0.183
600687.SH,0.217
600682.SH,0.413
600673.SH,0.31
600664.SH,0.315
600657.SH,0.11
600655.SH,0.283
600651.SH,0.177
600645.SH,0.204
600643.SH,0.5
600640.SH,0.1
600639.SH,0.156
600635.SH,0.305
600633.SH,0.224
600628.SH,0.133
600618.SH,0.074
600614.SH,0.336
600611.SH,0.199
600601.SH,0.251
600600.SH,0.227
600597.SH,0.201
600596.SH,0.13
600594.SH,0.303
600587.SH,0.196
600586.SH,0.123
600584.SH,0.444
600580.SH,0.138
600575.SH,0.215
600572.SH,0.214
600565.SH,0.243
600563.SH,0.124
600557.SH,0.196
600551.SH,0.101
600545.SH,0.167
600537.SH,0.15
600536.SH,0.183
600528.SH,0.293
600525.SH,0.472
600522.SH,0.505
600521.SH,0.318
600517.SH,0.167
600516.SH,0.233
600511.SH,0.233
600503.SH,0.323
600500.SH,0.292
600499.SH,0.224
600497.SH,0.326
600496.SH,0.136
600487.SH,0.44
600483.SH,0.088
600481.SH,0.167
600478.SH,0.244
600468.SH,0.068
600466.SH,0.193
600460.SH,0.115
600458.SH,0.14
600436.SH,0.357
600435.SH,0.285
600433.SH,0.149
600428.SH,0.158
600426.SH,0.295
600425.SH,0.137
600422.SH,0.179
600418.SH,0.284
600416.SH,0.247
600410.SH,0.231
600409.SH,0.229
600397.SH,0.095
600395.SH,0.139
600392.SH,0.201
600388.SH,0.279
600380.SH,0.194
600366.SH,0.19
600351.SH,0.125
600348.SH,0.215
600338.SH,0.097
600335.SH,0.101
600329.SH,0.132
600325.SH,0.228
600316.SH,0.224
600315.SH,0.381
600312.SH,0.278
600307.SH,0.257
600300.SH,0.202
600298.SH,0.192
600292.SH,0.117
600291.SH,0.134
600289.SH,0.142
600284.SH,0.176
600282.SH,0.187
600280.SH,0.117
600277.SH,0.158
600270.SH,0.161
600267.SH,0.197
600266.SH,0.322
600260.SH,0.199
600259.SH,0.169
600251.SH,0.1
600240.SH,0.272
600220.SH,0.15
600219.SH,0.462
600216.SH,0.175
600201.SH,0.53
600200.SH,0.215
600198.SH,0.255
600195.SH,0.112
