con_code,weight
603993.SH,0.459
603259.SH,0.23
601989.SH,1.008
601988.SH,1.348
601939.SH,0.839
601888.SH,1.688
601857.SH,0.897
601818.SH,1.084
601800.SH,0.425
601766.SH,1.283
601688.SH,1.25
601668.SH,2.08
601628.SH,0.87
601601.SH,2.152
601398.SH,2.106
601390.SH,0.811
601336.SH,0.729
601328.SH,2.692
601319.SH,0.162
601318.SH,17.132
601288.SH,2.359
601229.SH,1.16
601211.SH,1.396
601186.SH,0.758
601166.SH,4.522
601138.SH,0.306
601111.SH,0.427
601088.SH,1.116
601066.SH,0.156
600887.SH,3.164
600837.SH,2.002
600703.SH,0.48
600690.SH,1.054
600585.SH,1.428
600519.SH,10.393
600340.SH,0.871
600309.SH,1.271
600276.SH,4.489
600196.SH,0.504
600104.SH,1.592
600050.SH,0.987
600048.SH,1.739
600036.SH,6.404
600031.SH,1.43
600030.SH,3.182
600029.SH,0.409
600028.SH,1.207
600019.SH,0.938
600016.SH,2.612
600000.SH,2.399
