con_code,weight
601989.SH,1.359
601988.SH,1.789
601985.SH,0.837
601901.SH,0.938
601881.SH,0.175
601857.SH,0.857
601818.SH,1.48
601800.SH,0.557
601788.SH,0.669
601766.SH,2.26
601688.SH,1.342
601668.SH,3.331
601628.SH,1.031
601601.SH,2.443
601398.SH,2.598
601390.SH,1.483
601336.SH,0.984
601328.SH,3.883
601318.SH,12.331
601288.SH,3.088
601229.SH,0.387
601211.SH,2.122
601198.SH,0.436
601186.SH,1.27
601169.SH,2.56
601166.SH,4.822
601088.SH,1.012
601006.SH,1.145
600999.SH,0.904
600958.SH,0.994
600919.SH,0.271
600887.SH,3.011
600837.SH,2.757
600606.SH,0.655
600547.SH,0.493
600519.SH,5.44
600518.SH,1.481
600485.SH,0.587
600340.SH,0.911
600111.SH,0.567
600104.SH,2.497
600100.SH,0.576
600050.SH,1.453
600048.SH,1.628
600036.SH,5.659
600030.SH,3.074
600029.SH,0.701
600028.SH,1.43
600016.SH,4.459
600000.SH,3.263
