con_code,weight
600637.SH,1.437
600050.SH,1.015
601601.SH,2.249
600518.SH,1.309
601998.SH,0.507
601901.SH,0.889
600010.SH,0.789
600795.SH,0.825
601669.SH,0.727
601006.SH,1.114
600837.SH,3.154
601398.SH,2.524
601800.SH,0.508
601989.SH,1.8
601857.SH,1.008
600109.SH,0.714
601766.SH,2.56
600104.SH,1.81
600519.SH,3.394
601668.SH,2.332
600028.SH,1.365
601988.SH,1.954
601186.SH,1.055
601088.SH,0.759
601318.SH,9.398
601288.SH,3.336
600000.SH,4.805
600887.SH,2.41
601166.SH,5.649
600015.SH,1.48
600030.SH,3.821
601328.SH,3.577
600111.SH,0.754
601818.SH,1.629
601628.SH,1.084
601169.SH,2.787
600016.SH,7.342
600048.SH,1.633
600018.SH,0.491
600585.SH,0.921
601390.SH,1.227
600893.SH,0.839
601985.SH,0.983
601688.SH,1.524
601211.SH,0.82
600036.SH,4.526
601336.SH,0.692
600150.SH,0.472
600999.SH,1.417
600958.SH,0.585
