,600009.SH,600028.SH,600030.SH,600276.SH,600309.SH,600340.SH,600585.SH,601186.SH,601288.SH,601328.SH,601688.SH,601818.SH,601888.SH
0,-0.0014080987396052718,0.002055333611046232,-0.007640137275328205,0.0010937804100236293,-0.02015146795981972,-0.007301513801454192,0.002885439540820663,-0.004489157307366779,-0.0004992240833763119,-0.007021380760529465,0.0056619192983815405,-0.004369109626869398,-0.012209202305664387
1,0.003772660664502285,0.0018623254717335554,-0.004411970623512115,0.007878996795510008,-0.017429374823704567,0.004947761265966973,0.005872713762157001,-0.004697755003986013,0.004645056717095835,0.0075730166341517816,0.010715255307113794,0.007555167575513099,0.0034750622331865123
2,-0.0040537176823888035,0.006525563120046198,0.0005601049065189984,0.001964122917825368,0.01969963443615596,-0.005453236242595658,-0.0004511122974622888,0.016937106894723417,-0.0017783674233941922,-0.0002331537916874037,-0.005806533949862146,-0.00039413018393747866,-0.003283705458391609
3,0.015528408502080841,0.004304532535702451,0.0006617597872177456,0.010037913435514308,0.0126182363575648,0.034805478563148334,0.013730637718615277,0.0059306747334626824,0.0051723868506444795,0.002607803018702448,-0.002736744847491281,-0.0006649226535182387,0.013402045292151022
4,0.006406431555752347,0.0043898814510684465,0.003481909654523787,0.012343960123032294,0.01446147747685371,-0.0039105363604567175,0.009467381834342259,-0.0011377733660096526,0.011805041344876602,0.008566734189743616,0.013885116503359538,0.006808141832886746,0.0073329093853811795
5,0.012144243279530531,0.0021252540171736267,0.004912647031465578,0.014454237906700612,0.016772026603008434,-0.002794830825719166,0.01298164086551202,-0.006420044754399076,-0.0009241700027996967,-0.0036679081518017423,-0.009976641058762259,-0.0021998104574314963,0.024153224458952002
6,0.00706176922223802,0.008942734562027236,0.004130222003184443,0.012165277573095908,0.019147582818339958,0.0002157479375798012,0.01087758180407132,-0.00583519614609593,0.0005389231493125199,1.8175361081278407e-05,0.005016212805757422,0.0005048376309716826,0.012615574026881574
7,0.009389905165791235,0.0014675762684632325,-0.008227165155049006,0.005029307352211718,0.01934736330007766,-0.009993482424453592,0.008941152412968275,0.006341122792718512,-0.00012392405568942727,-0.0021803207259383822,-0.008097300424130056,-0.003129726364180884,0.010519694890762472
8,-0.0055089980738683144,-0.013759720251446332,0.00544203730076729,-0.011936609283402802,-0.028738350085476663,0.007098060299567812,-0.012952572410435587,0.0033110630704938928,0.00025486683286472496,0.0016639308538191195,0.004681291017428001,0.0014098530450749307,0.002340429012087896
9,0.0206906359454722,0.007294744887331866,0.020251561938199474,0.024726219384330644,0.030269819638255164,0.0132998293339492,0.019205585921648668,0.0007987871479634358,0.002798312090849072,0.004919205524152729,0.015468027218548137,0.007602896592108228,0.016353369004132416
10,0.011446886120961793,-0.004708032523564568,0.000292853735231326,0.012533474391838663,0.003063350444298532,-0.006438827373583863,0.002265357904310091,-0.008521002247013252,-0.003067157822249861,-0.0054973147637886405,-0.0014539526146578525,-0.003495974574020485,0.013368728893492185
11,-0.004707368210268103,0.0022688782598815536,0.0032235471716281984,0.003438515894964729,0.011914757528775551,0.0033400338200592268,0.01707592062673795,0.0058260451901491535,0.005537330605735803,0.002345743729577142,0.002049264300167902,0.010322867587177056,-0.004366817213701213
平均收益率,0.005896896479183231,0.0018974226174552906,0.0018897808729039602,0.007810766408470422,0.006747921311194068,0.0023178736826673465,0.007491643973607138,0.0006703225837200324,0.002029922850322462,0.0007578775931235401,0.002450492796321061,0.0016625075336478136,0.006975109351605836
平均收益率/收益率标准差,0.7246213707884531,0.32808077249920475,0.2657197677441562,0.9053556409390244,0.3774349538765822,0.19722817324515807,0.8912864704777378,0.09529232727649116,0.5091023556445655,0.1625372565048807,0.3065977788135161,0.34209185365929146,0.7139480598967961
