ts_code,total_mv,ln_total_mv
600230.SH,663512.1017,13.405302371774201
600237.SH,182855.7391,12.116452810014145
002465.SZ,1762504.7454,14.382246506090468
300732.SZ,446796.604,13.009858745432092
600007.SH,1337671.2052,14.10644075344835
300068.SZ,1219732.3962,14.014142045272235
300552.SZ,145522.2496,11.888084272115945
601369.SH,930821.4923,13.743822800281217
002518.SZ,446735.6172,13.009722238211317
002913.SZ,638633.1723,13.367085503262906
601818.SH,21468109.5298,16.882079114268823
600926.SH,3991295.9361,15.199626532146276
002166.SZ,268490.7563,12.500571765150346
600841.SH,633550.2657,13.35909462160981
300634.SZ,881222.03,13.68906489359783
300126.SZ,129181.98,11.768977386919069
300718.SZ,291456.0,12.582644329983356
000708.SZ,425589.8306,12.961231322457182
002626.SZ,734846.457,13.507416854331087
600816.SH,2193124.3055,14.60083770864815
002909.SZ,149520.0,11.915185442129445
603680.SH,863044.43,13.668221451938496
300593.SZ,180379.188,12.10281651410185
603833.SH,3778362.4266,15.144801253252478
600545.SH,1372279.0084,14.13198342548548
002676.SZ,195840.0,12.185053278306098
000566.SZ,659973.7564,13.399955350181735
002852.SZ,365007.0,12.807671810462923
002067.SZ,365585.129,12.809254442133106
601225.SH,8420000.0,15.94612038621851
600695.SH,293697.5573,12.590305800162
000050.SZ,1890417.5761,14.452308302367685
601990.SH,2386148.9286,14.6851912973786
300669.SZ,145774.2578,11.889814524669404
600332.SH,5446399.6792,15.510465339019843
002025.SZ,1065207.0,13.878679704436184
002915.SZ,217280.0,12.288942123352468
600113.SH,214099.2,12.274194737999098
603089.SH,175792.16,12.077057667106809
601860.SH,1797496.4445,14.401905390550347
002628.SZ,346103.1278,12.754492066855065
600665.SH,304171.1274,12.625345741087795
000540.SZ,2220665.7332,14.613317588713317
300382.SZ,302044.637,12.618330090070739
600774.SH,241472.6741,12.394511594948101
603318.SH,492028.7779,13.106292485430542
000750.SZ,1918071.5973,14.466830862873747
300190.SZ,385889.4814,12.863306289833673
603908.SH,138181.68,11.83632462002359
002199.SZ,216663.7031,12.286101675110165
300109.SZ,268933.0549,12.502217761068808
000070.SZ,559906.3082,13.235524741928277
300566.SZ,175221.3645,12.073805393543076
600892.SH,396660.1093,12.89083504510649
002290.SZ,195868.8503,12.185200583122061
002803.SZ,287123.2,12.567666670925167
603077.SH,1413000.0365,14.161225687498229
603629.SH,322500.0,12.683858415217964
002826.SZ,173593.8,12.064473366284902
002027.SZ,7984766.8723,15.893046143500602
002121.SZ,563339.6588,13.24163802680716
000638.SZ,139848.8,11.848317117971197
002069.SZ,234667.024,12.365922869198183
300099.SZ,278420.1701,12.53688665488986
002873.SZ,183957.816,12.122461749437267
002310.SZ,1611277.2024,14.292537715885885
300415.SZ,244512.0,12.407019666447294
002569.SZ,163811.7,12.006472876421636
600802.SH,273039.6712,12.517372379360701
002330.SZ,201804.0,12.21505220831075
603599.SH,590142.5015,13.28811931468482
000547.SZ,1551085.799,14.254465759132854
002810.SZ,215386.776,12.280190649062153
300090.SZ,219112.1851,12.297339138368494
300590.SZ,455563.29,13.029289932242971
000613.SZ,214454.9,12.275854738832974
300697.SZ,210288.0,12.256233298721789
600365.SH,142400.0,11.866395277960013
603606.SH,495106.8068,13.112528789588676
002140.SZ,269850.8931,12.505624837657766
002200.SZ,95564.9699,11.46756160824978
002068.SZ,400612.0414,12.90074876017449
002236.SZ,3705060.7055,15.125210201328434
300254.SZ,128942.652,11.767123026359009
002435.SZ,440521.2509,12.995713965873504
601088.SH,39441117.3623,17.490319417984523
600860.SH,196230.0,12.187042719623369
600765.SH,639518.6304,13.368471032336652
600729.SH,1117953.2788,13.927010141841844
300467.SZ,444709.2952,13.005176078461586
002529.SZ,151580.0,11.92886881736602
000829.SZ,481461.9227,13.084582426511767
002585.SZ,588545.5453,13.285409594871366
002831.SZ,1700042.5,14.34616380871395
600891.SH,358817.3515,12.79056876780796
002463.SZ,1400797.9784,14.15255261677741
603959.SH,464128.0,13.047915655234414
300624.SZ,339903.838,12.736418027176798
000839.SZ,1293542.6962,14.07289528833559
300274.SZ,1603922.528,14.28796276699028
600152.SH,255740.3512,12.451917955633943
300049.SZ,219649.3385,12.299787637790013
600540.SH,174712.5491,12.070897325826248
002686.SZ,268434.8332,12.500363456582843
601311.SH,687202.1953,13.440383844204705
600358.SH,172183.4011,12.056315473182147
300648.SZ,197142.4,12.191681589234806
002382.SZ,1322650.65,14.095148349270472
600616.SH,231578.6364,12.352674776902965
000889.SZ,642337.8077,13.372869624505897
300570.SZ,449643.744,13.016210868202396
601519.SH,661904.1,13.402875960376997
002094.SZ,297104.7754,12.601840134697492
603067.SH,235928.0,12.371281952714165
601677.SH,533838.1556,13.18784799260374
300379.SZ,406128.4839,12.91442485132796
000685.SZ,1063555.2841,13.877127895440132
300268.SZ,161872.0,11.994561178445672
600202.SH,128419.1251,11.763054608523088
600675.SH,2733100.638,14.820947287503376
603018.SH,525610.8678,13.172316422879412
002795.SZ,265800.0,12.490499425261282
603038.SH,152184.0572,11.932845969908707
002030.SZ,714481.617,13.479312547539621
300239.SZ,167037.8789,12.025975885439658
601333.SH,2479237.95,14.723461792695732
300583.SZ,329365.4344,12.704923156186217
300636.SZ,137231.97,11.829427984622274
000411.SZ,227572.5908,12.335224546917365
603238.SH,240120.0,12.38889407736578
603386.SH,273640.8,12.51957157641985
603429.SH,430304.0,12.972247214623597
603897.SH,365363.2,12.808647206305308
601158.SH,2692800.0,14.80609210241868
600539.SH,139840.0,11.848254190889362
000021.SZ,857744.2086,13.66206120884713
603360.SH,267320.032,12.496201841331718
000875.SZ,504383.7853,13.131092736045485
002663.SZ,456156.1748,13.030590518457183
002572.SZ,1393450.3018,14.147293460969625
600187.SH,418445.5874,12.944302142298477
300153.SZ,213440.0,12.271111041709396
000861.SZ,538556.7506,13.196648156469644
002083.SZ,470344.0026,13.061219626388645
300658.SZ,161850.0,11.99442525935439
603197.SH,307492.2094,12.636205030623213
600196.SH,5953990.4591,15.599572218121237
002329.SZ,257993.1308,12.460688238743106
600757.SH,782804.4261,13.57063816867816
000615.SZ,389352.7755,12.872241089527304
002420.SZ,119498.0,11.691054913811973
300154.SZ,222993.78,12.314899157676575
002249.SZ,772760.4812,13.557724423409335
000622.SZ,209211.192,12.25109950878586
300329.SZ,180839.5304,12.105365344634544
600249.SH,194700.0,12.17921519136029
603826.SH,702000.0,13.461688683007948
600397.SH,210861.4549,12.258956584945892
000428.SZ,251674.722,12.435892746997828
600321.SH,291536.15,12.582919290805744
600648.SH,1499796.1928,14.220839785374407
600967.SH,1613598.3852,14.29397726487796
600039.SH,1180641.8418,13.981568782292332
000031.SZ,894169.6768,13.703650831225143
000738.SZ,1393101.0964,14.147042824715756
600888.SH,364542.2604,12.806397764450983
600340.SH,8195873.9139,15.919141404364614
603159.SH,184500.0,12.125404742462718
600812.SH,655583.5011,13.393280959427758
300156.SZ,291897.0559,12.58415647080299
002712.SZ,324892.1908,12.691248685665036
000061.SZ,802664.034,13.595691516837029
002082.SZ,169932.0,12.04315363601106
601100.SH,2062116.0,14.539243198038806
300508.SZ,181551.264,12.109293339087593
300333.SZ,233856.0,12.362460820297624
600006.SH,726000.0,13.495305293806933
002668.SZ,351252.1027,12.769259485946694
601099.SH,1676813.827,14.332406019138793
600526.SH,191044.2305,12.160260253518238
002378.SZ,441752.0344,12.99850399549109
002035.SZ,865753.9078,13.671355976028666
603639.SH,463308.6171,13.046148670627414
600130.SH,251904.0,12.436803341531816
000692.SZ,144930.5695,11.884010075692041
300596.SZ,478620.0,13.07866224213323
000587.SZ,499081.0926,13.120523871750741
603289.SH,197212.22,12.192035686776402
002016.SZ,713622.3474,13.478109176181354
