ts_code,total_mv,ln_total_mv
000599.SZ,394367.5189,12.885038542588974
002863.SZ,208986.8911,12.250026806970272
002743.SZ,205831.4386,12.234812853591606
002919.SZ,183692.1605,12.121016594734614
601319.SH,33698680.8242,17.332969249873923
002215.SZ,590493.3441,13.28871364292182
600694.SH,786578.5527,13.575447872780515
000752.SZ,110778.5662,11.615288588733884
601881.SH,11617298.5355,16.26800579832329
600503.SH,511130.51,13.144380237750681
603181.SH,465640.0,13.051168082362178
300242.SZ,246841.9821,12.416503662300673
600031.SH,13350121.1958,16.407036021106403
601619.SH,744205.0,13.520071813496115
600398.SH,3398988.2552,15.038988373303058
600055.SH,560826.3984,13.23716668634784
002510.SZ,363736.1971,12.804184150631029
002041.SZ,729520.0,13.500142062607548
002370.SZ,375546.1192,12.836136563416776
603339.SH,287781.8793,12.56995810863176
603508.SH,1064636.7517,13.878144220729295
600725.SH,322907.14,12.68512006861091
002616.SZ,605376.6455,13.313606097851743
300034.SZ,776289.8751,13.562281279799379
300130.SZ,835972.2617,13.636350711731689
603767.SH,215922.504,12.282674844512378
002118.SZ,787667.293,13.576831062676243
601900.SH,826894.0704,13.62543187680536
600522.SH,2572442.9087,14.760366553518905
603185.SH,426182.4,12.962622702627396
000926.SZ,617900.9083,13.334083381026952
603900.SH,322088.2526,12.682580863371987
002497.SZ,599180.25,13.303317750027782
603928.SH,242323.2,12.398027651292367
600843.SH,411442.2,12.927423827508195
300227.SZ,328243.007,12.701509488053876
300180.SZ,1531674.4549,14.241872109900463
002262.SZ,1159043.8274,13.963105936447306
300324.SZ,997613.8537,13.81312156028041
002708.SZ,359616.4453,12.792793312736364
688002.SH,1731495.0,14.364495755150793
300257.SZ,947232.0,13.761299326325004
000572.SZ,307547.0117,12.636383238120443
002127.SZ,2695447.7025,14.807074871904899
600653.SH,400954.3453,12.90160284768736
002344.SZ,540035.6644,13.199390461544755
002105.SZ,189040.5,12.149716556800161
002461.SZ,1611303.1334,14.292553809200742
300501.SZ,185018.2236,12.128209605155016
002499.SZ,89397.0,11.400842403551575
002253.SZ,325804.0812,12.694051501775123
002360.SZ,205935.6276,12.235318911558723
603988.SH,227203.2,12.33360005023699
603619.SH,558000.1395,13.232114491363417
603037.SH,177995.4634,12.089513342432582
002946.SZ,1101286.7591,13.911989835107908
300465.SZ,433384.2213,12.97937996063808
600112.SH,103877.7886,11.550970377525447
603615.SH,227778.46,12.336128768895838
601857.SH,106518209.0901,18.48382650587062
601500.SH,573094.5891,13.258806059036525
300486.SZ,363148.3804,12.8025667911593
688389.SH,709718.2,13.472623268822836
600977.SH,2856510.0,14.865111157928204
601218.SH,274717.52,12.52349864871723
300046.SZ,353779.2,12.776428268702613
300282.SZ,301301.6655,12.615867252816358
600053.SH,915204.6288,13.726902957287187
300483.SZ,373804.1006,12.831487143980882
600367.SH,225322.02,12.325285857995981
600251.SH,421460.1583,12.951480528350242
002002.SZ,1084671.0776,13.896787344710432
002296.SZ,322794.5519,12.684771337602292
300406.SZ,830960.8336,13.630337941078238
300625.SZ,456120.0,13.030511211771294
000670.SZ,184557.7834,12.125717882589123
300628.SZ,4371306.072,15.290572394729553
600217.SH,731823.7051,13.50329492390951
300383.SZ,3197323.2234,14.97782452502722
002550.SZ,581108.65,13.272693023514273
600834.SH,327483.9868,12.699194437594855
300613.SZ,707250.1024,13.469139633949947
600368.SH,504283.1665,13.130893227575115
300165.SZ,221644.8,12.308831379487442
002527.SZ,325598.8323,12.69342132680188
002133.SZ,253145.1452,12.441718299651454
000510.SZ,240017.8081,12.38846839998808
601231.SH,5287494.2994,15.480855024208429
600207.SH,399548.616,12.898090728899726
300528.SZ,256726.9492,12.455768344597805
000691.SZ,126075.3,11.744634626478085
002551.SZ,321918.4481,12.682053525678914
600766.SH,172878.8798,12.060346511520718
600712.SH,573522.0941,13.25955173983129
600710.SH,731779.683,13.50323476813183
300464.SZ,502845.9772,13.128039193840626
601588.SH,1094281.5,13.90560854147911
603967.SH,434933.3877,12.982948166620824
000159.SZ,292737.7697,12.587032503302897
603660.SH,559225.1229,13.234307395394719
600778.SH,166959.3647,12.025505736640824
002120.SZ,6779042.2951,15.729346395529205
002542.SZ,684302.056,13.436154701466252
300608.SZ,284876.6436,12.559811536079389
603108.SH,590545.2265,13.28880150186449
600211.SH,576757.2673,13.265176776390078
002388.SZ,382862.616,12.855431498851933
600123.SH,720854.4,13.488192454126533
002273.SZ,2002375.2219,14.50984464482218
600487.SH,3129668.7175,14.956437715860464
002881.SZ,503034.386,13.128413808574338
300292.SZ,684594.7056,13.43658227148127
002839.SZ,1044769.6245,13.859306964053344
601916.SH,10060093.576,16.124087024381872
002380.SZ,340068.1666,12.73690136649691
