ts_code,total_mv,ln_total_mv
002025.SZ,1229943.0,14.022478384811388
002915.SZ,263984.0,12.483643774231226
600113.SH,353830.7976,12.776574104969106
603089.SH,224007.0,12.319432580348906
601860.SH,3400965.7779,15.039570001574695
600131.SH,978002.8007,13.793267812714285
002628.SZ,450314.3993,13.017701282904765
600665.SH,388855.1345,12.870962148356345
000540.SZ,3418564.2834,15.044731220722587
300629.SZ,200900.1005,12.21056305105178
300382.SZ,439799.5743,12.994074389162357
600774.SH,321131.4228,12.679605735146385
603318.SH,763047.9081,13.545076097417327
000750.SZ,2617851.5646,14.777864525830838
300190.SZ,536892.6955,13.193553531363746
603908.SH,181263.42,12.107706611355304
002199.SZ,340819.3082,12.739107727848866
300109.SZ,454178.6761,13.026245959290813
000070.SZ,955539.9929,13.77003189725489
600892.SH,378197.7911,12.843172594628887
002290.SZ,243440.467,12.40262770290618
002803.SZ,495169.2,13.11265480132612
603629.SH,415800.0,12.93795965440605
002826.SZ,237529.44,12.378046852669424
002027.SZ,9746112.5059,16.092379046121543
002121.SZ,960494.1183,13.77520313759053
002069.SZ,338489.4043,12.732248068924315
300099.SZ,491250.9732,13.104710423232348
002873.SZ,216861.792,12.287015526387771
300415.SZ,346896.0,12.756780302190872
002569.SZ,163251.66,12.003048215540272
600848.SH,3356398.0732,15.026378954910433
603456.SH,762371.1558,13.544188797185651
300526.SZ,241593.9257,12.395013602756533
603025.SH,1109034.5253,13.919000397768565
002683.SZ,1023186.6521,13.838432483911484
000720.SZ,737680.3503,13.511265880080062
600728.SH,2047769.2539,14.532261589799766
000902.SZ,1442809.3947,14.182102739426417
000099.SZ,493947.3923,13.110184297179405
300014.SZ,2294396.1987,14.645980272613054
002903.SZ,316800.0,12.666025938922408
603889.SH,421993.9449,12.952746244337009
002438.SZ,406591.2946,12.915563769715996
601997.SH,3066321.5946,14.935989223519915
600201.SH,2087379.7938,14.551420150240753
000630.SZ,2884270.1264,14.874782436801075
600713.SH,544762.6806,13.20810553036981
002213.SZ,203528.0,12.223558866537449
300111.SZ,326981.6,12.697659179183075
300607.SZ,548508.98,13.214958930486832
601998.SH,31318269.8067,17.259712185118428
002690.SZ,1909700.0,14.462456719623505
