ts_code,total_mv,ln_total_mv
600230.SH,1117797.5444,13.92687082900015
600237.SH,231391.5217,12.351866453917502
002465.SZ,2097011.5361,14.556023811108792
300732.SZ,474336.0,13.069671210313587
600007.SH,1473654.3472,14.203255824367712
300068.SZ,1080494.2962,13.892929176062761
300552.SZ,213234.824,12.270149297522611
601369.SH,1038980.3277,13.853750336023387
002518.SZ,537936.3397,13.19549550444748
002913.SZ,603289.776,13.310152917492614
601818.SH,19893425.7883,16.805899872716058
600926.SH,4119550.9469,15.231254721914615
002166.SZ,334957.5233,12.721759006648494
600841.SH,793021.1945,13.583605227245954
300634.SZ,1768444.21,14.38561074062173
300126.SZ,148331.3088,11.9072036238478
300718.SZ,410652.0,12.925501419484007
000708.SZ,400422.9557,12.900276656697873
002626.SZ,1060965.3964,13.874689802926662
600816.SH,4123729.9909,15.232268649351896
002909.SZ,288288.0,12.571715259451166
603680.SH,1244460.0,14.03421225885098
300593.SZ,209936.18,12.25455885874929
603833.SH,4753405.8647,15.374371943219192
600545.SH,1522016.635,14.235546747041806
002676.SZ,224640.0,12.322254399819583
000566.SZ,1195701.4413,13.994243551309637
002852.SZ,446794.0,13.0098529172598
002067.SZ,433325.184,12.979243727432971
601225.SH,7630000.0,15.84759840326064
600695.SH,259563.2165,12.466755560783458
000050.SZ,2996404.0236,14.912923468866337
601990.SH,3018423.4143,14.92024520479139
300669.SZ,177156.8,12.084790495105882
600332.SH,6062574.4488,15.617645094366907
002025.SZ,1112397.0,13.92202770446668
002915.SZ,336336.0,12.725865939278425
600113.SH,272403.0,12.515037866412708
603089.SH,203739.7,12.224598477678066
600131.SH,353391.7337,12.775332447818839
002628.SZ,401891.8372,12.903938269706025
600665.SH,299850.5148,12.61103934545361
300629.SZ,237600.1188,12.378344366470502
300382.SZ,375162.3116,12.835114042241594
600774.SH,244876.8942,12.408510890592115
603318.SH,485979.2438,13.093921193740156
000750.SZ,1462793.0643,14.19585822385974
300190.SZ,458345.5233,13.035378596351933
603908.SH,177795.54,12.088389517382868
002199.SZ,245633.3443,12.411595232733472
300109.SZ,462927.7387,13.045326248965635
000070.SZ,508492.739,13.139206215116099
300566.SZ,292323.7785,12.585617297431416
600892.SH,466033.6686,13.052013160712454
002290.SZ,271837.8096,12.512960879192306
002803.SZ,359600.0,12.792747581579603
603077.SH,1527806.2894,14.239343466719227
002826.SZ,289323.0,12.575298990050893
002027.SZ,16175024.0686,16.598978886362495
000638.SZ,178833.2,12.094208806811343
002069.SZ,262400.3996,12.477626858916764
300099.SZ,337986.0238,12.73075982390609
002873.SZ,293676.768,12.590235012934457
300415.SZ,357696.0,12.78743874262937
600802.SH,320392.0058,12.677300543178426
002330.SZ,257024.0,12.456924744731237
603599.SH,657520.976,13.396231945186775
000547.SZ,1133695.7153,13.940993398603647
002810.SZ,190978.656,12.159916952093317
300090.SZ,468583.2873,13.05746913924696
300590.SZ,367200.0,12.813661937728472
000613.SZ,286910.8,12.566926645039267
300697.SZ,327392.0,12.698913508678666
600365.SH,175200.0,12.073683457484428
603606.SH,447306.861,13.011000128002163
002140.SZ,324713.1408,12.690697427860261
002200.SZ,132207.415,11.792127294085478
002068.SZ,611460.4842,13.323605610925664
002236.SZ,5884474.9439,15.587828075307952
300254.SZ,177061.8,12.084254103158775
002435.SZ,686645.8135,13.439573882947196
601088.SH,35662089.4758,17.389598763068552
600860.SH,202138.0,12.216705911446928
600765.SH,619290.5472,13.336329823124856
600729.SH,1404555.8466,14.155231687356073
300467.SZ,746910.8745,13.523701145751822
002529.SZ,283140.0,12.553696753948488
000829.SZ,816911.9027,13.613286537795485
002585.SZ,645203.1714,13.377320540596187
002831.SZ,2193254.83,14.600897222199535
600891.SH,316821.5169,12.666093856123558
002463.SZ,775210.669,13.560890102363883
603959.SH,561030.4,13.237530371984972
300624.SZ,659040.0,13.398539509669908
000839.SZ,1842318.3854,14.426535328526533
300274.SZ,1132761.708,13.940169198384158
600152.SH,260466.3473,12.470228946801663
300049.SZ,304615.4898,12.626805571072097
600540.SH,178009.0123,12.089589458891398
002686.SZ,357124.1089,12.785838644325201
601311.SH,974809.04,13.789996874387356
600358.SH,237825.1669,12.379291089850929
300648.SZ,362872.0,12.801805433983077
002382.SZ,1761496.4751,14.381674275682801
600616.SH,329870.9021,12.706456651144151
000889.SZ,762359.6396,13.54417369130593
300570.SZ,411004.2816,12.926358910942358
601519.SH,741412.1,13.516311890040368
002094.SZ,651691.3605,13.387326355365943
603067.SH,424424.0,12.958488234547179
601677.SH,594704.2097,13.295819434364772
300379.SZ,409729.8961,12.923253431583005
000685.SZ,1181564.1922,13.982349705237747
300268.SZ,174870.0,12.071798119707704
600202.SH,130719.1692,11.780806554504478
600675.SH,2061534.9644,14.538961391644975
603018.SH,500847.4121,13.124056767010488
002795.SZ,466600.0,13.053227638569467
603038.SH,191788.968,12.164150921529062
002030.SZ,1288618.6307,14.069081373676218
300239.SZ,199053.4723,12.201328772637025
601333.SH,3053004.447,14.93163672831602
300583.SZ,467374.9508,13.054887107010622
300636.SZ,187051.7415,12.139140550077778
000411.SZ,284828.7759,12.559643492390583
603238.SH,237840.0,12.379353457671979
603429.SH,564155.2,13.24308466993083
603897.SH,608700.8,13.31908212875748
601158.SH,2692800.0,14.80609210241868
600539.SH,138000.0,11.835008964139341
000979.SZ,864231.9235,13.669596441742165
000021.SZ,1032824.0728,13.847807426531084
603360.SH,254066.036,12.445349496462592
000875.SZ,639601.566,13.368600708344193
002663.SZ,495665.7648,13.113657117270174
002572.SZ,2742576.1407,14.824408233991345
600187.SH,469717.5764,13.059886891796117
300153.SZ,254400.0,12.446663110448105
000861.SZ,548970.5758,13.215800123062637
002083.SZ,505756.0028,13.133809624064844
300658.SZ,238500.0,12.382124589310534
603197.SH,460319.6791,13.039676481661392
600196.SH,9456280.7921,16.062189712783166
002329.SZ,352646.4547,12.773221289275142
600757.SH,694207.9562,13.450526843306406
000615.SZ,510908.9063,13.143946587736918
002420.SZ,164009.0,12.00767658334937
300154.SZ,233993.36,12.363048017868854
002249.SZ,1064323.4849,13.877849929838488
000622.SZ,140749.806,11.854739167670614
300329.SZ,209073.1802,12.250439614158276
600249.SH,225500.0,12.326075437924871
603826.SH,542880.0,13.204643580018057
600397.SH,194032.1369,12.175779078450047
000428.SZ,289374.984,12.575478648531057
600321.SH,288515.05,12.572502529947489
600648.SH,2151486.59,14.581669598380572
600967.SH,2281002.953,14.640125795873315
600039.SH,1249241.8265,14.038047386459413
000031.SZ,1066474.1784,13.879868605067387
000738.SZ,1757415.3634,14.379354744124708
600888.SH,498121.5757,13.118599454124066
600340.SH,7644447.1362,15.849490077686477
603159.SH,208500.0,12.247694320220994
600812.SH,737123.7375,13.51051105056605
300156.SZ,618134.942,13.334462065355146
002712.SZ,604108.7046,13.311509435226796
000061.SZ,884118.3123,13.692346170107788
002082.SZ,305592.0,12.63000615792138
601100.SH,2037420.0,14.52719485952263
300508.SZ,261735.648,12.475090296283954
300333.SZ,348768.0,12.762162223689039
600006.SH,796000.0,13.58735446482652
601099.SH,1601834.347,14.28665999739373
600526.SH,325705.7798,12.693749736885193
002378.SZ,615495.5124,13.330182933597126
002035.SZ,1211228.6561,14.007145820648987
603639.SH,467374.2137,13.054885529903034
600130.SH,250368.0,12.43068711451438
000692.SZ,163579.7236,12.005055756594421
300596.SZ,497520.0,13.117391035777771
000587.SZ,711456.0256,13.475068889401744
603289.SH,316383.6,12.664710680409623
