ts_code,total_mv,ln_total_mv
000547.SZ,1179443.84,13.980553563300807
002810.SZ,190145.208,12.15554331188187
300090.SZ,322068.513,12.682519575185445
300590.SZ,409700.13,12.923180780840257
000613.SZ,287274.9,12.568194876027261
300697.SZ,238368.0,12.381570976976002
600365.SH,168000.0,12.031719258385396
603606.SH,450828.9623,13.018843305534798
002140.SZ,281893.8255,12.549285773705178
002200.SZ,111952.7971,11.625832606976052
002068.SZ,484224.3549,13.090303621477636
002236.SZ,3935877.5941,15.185644437610735
300254.SZ,147482.064,11.901461847368132
002435.SZ,467219.5086,13.054554466045612
601088.SH,38506305.2009,17.46633255730088
600860.SH,222816.0,12.314101597742273
600729.SH,1211454.8257,14.007332530635953
300467.SZ,582391.0641,13.274897432512015
002529.SZ,199160.0,12.201863800756119
000829.SZ,620504.8055,13.338288628157649
002831.SZ,1650441.26,14.316553240426684
600891.SH,381668.0263,12.8523064686541
002463.SZ,1260115.446,14.046713898539979
603959.SH,536256.0,13.192366937972958
000839.SZ,1458175.4029,14.192696488087114
300274.SZ,1402162.1376,14.153525987250944
600152.SH,293219.5406,12.588676892749332
600540.SH,183660.0921,12.120842002637495
601058.SH,637544.7306,13.365379719200284
601798.SH,177264.099,12.085395984249331
000009.SZ,1035984.276,13.850862524080206
300022.SZ,154757.8347,11.949616817375137
600455.SH,150149.032,11.919383626504247
300633.SZ,1278431.96,14.061144853681652
002312.SZ,445123.6298,13.00610734233889
002280.SZ,920934.3125,13.733143990761231
002659.SZ,385392.281,12.862017006220054
002883.SZ,184956.9288,12.12787825965701
002933.SZ,486767.8,13.09554249164645
600867.SH,3085560.5803,14.94224391041861
600389.SH,540837.0,13.200873218530308
300201.SZ,465381.6206,13.050613037450402
002245.SZ,427249.4474,12.965123307589055
000703.SZ,2911579.2638,14.88420619427479
601398.SH,192102972.571,19.07354210170027
002031.SZ,444277.9253,13.004205603467327
002018.SZ,300673.2197,12.61377930515023
600717.SH,1220906.6885,14.015104327977594
002845.SZ,294042.5536,12.59147977598303
002615.SZ,219153.6,12.297528132816755
600188.SH,4803951.648,15.384949397185482
002459.SZ,377028.6705,12.840076512610182
600416.SH,573175.601,13.258947407735697
300119.SZ,300943.1365,12.614676610601881
603937.SH,245851.76,12.41248403165115
600682.SH,1272030.0033,14.056124610104023
603298.SH,743243.8702,13.518779493534037
300745.SZ,406404.3372,12.915103847433556
603936.SH,326418.2837,12.695934916740983
002536.SZ,362515.3533,12.800822106311
601226.SH,460845.0,13.040817039845757
002104.SZ,424369.1648,12.95835902709747
603319.SH,167423.48,12.028281690045088
603110.SH,161125.119,11.989936478798237
603178.SH,227139.716,12.333320596114662
600731.SH,166599.4454,12.023347679777766
603600.SH,223647.055,12.31782444087803
600594.SH,464861.3838,13.04949454077421
603993.SH,8963684.8419,16.008691955085425
300275.SZ,130763.696,11.78114712596331
300216.SZ,152164.1013,11.932714831280322
300598.SZ,173680.0,12.064969804552174
601001.SH,773249.4,13.558356914601331
600776.SH,962096.049,13.776869567699203
600155.SH,1431655.1213,14.174341760415816
600110.SH,518790.7557,13.159255912645781
300266.SZ,633594.5781,13.359164562154072
000705.SZ,208827.0538,12.249261694605075
300204.SZ,524375.5484,13.169963402019508
300027.SZ,1419837.6069,14.166053061699658
002701.SZ,1172902.3488,13.974991875065355
600377.SH,4821124.3575,15.388517728014627
000739.SZ,951068.458,13.765341324215365
002314.SZ,934184.967,13.74742973507738
600329.SH,1039516.3988,13.854266161817145
601199.SH,354443.3158,12.778303713156415
600161.SH,1978356.6826,14.497777099781828
002604.SZ,117514.0348,11.674313050539736
002337.SZ,228382.911,12.338778933474432
002295.SZ,190969.392,12.159868442878253
603960.SH,401679.2,12.903409039071471
600068.SH,3223344.1884,14.98592994640823
002779.SZ,209220.0,12.251141608897752
300561.SZ,255764.9895,12.45201429206705
002282.SZ,435112.0799,12.983358931826016
300460.SZ,153129.522,11.939039391273656
600279.SH,286191.8902,12.564417809574431
002682.SZ,267125.0822,12.495472300342506
300520.SZ,317565.6,12.668439690146343
002453.SZ,298789.9,12.60749592979534
002493.SZ,6448385.4438,15.679340338646279
300400.SZ,348014.81,12.760000315322332
002472.SZ,449683.7786,13.016299900504912
300751.SZ,631800.0,13.356328167350123
000611.SZ,221273.4244,12.307154430260375
002128.SZ,1268277.695,14.053170392367722
603486.SH,2116929.1,14.565477058767321
600122.SH,484065.0463,13.089974569850632
600083.SH,406640.0,12.915683552120784
300597.SZ,366960.0,12.813008129271054
002161.SZ,485280.8544,13.092483083553894
002726.SZ,657800.04,13.39665627354585
600143.SH,1312207.0516,14.087221049754408
600569.SH,792309.5659,13.582707460463688
600809.SH,3326589.038,15.017458024076724
002110.SZ,2260353.2919,14.631031682880726
300739.SZ,365719.2,12.80962110481015
600894.SH,512528.3494,13.147111304367272
002623.SZ,259360.0,12.465972336969504
000786.SZ,2721797.1335,14.816802930944451
600467.SH,384241.502,12.859026545346264
603336.SH,297477.18,12.603092795143422
603626.SH,351577.9703,12.7701867872557
002635.SZ,889969.9082,13.698942930125481
300039.SZ,465028.3092,13.04985356271638
300132.SZ,474681.6,13.070399542465228
600326.SH,631730.6923,13.356218462535681
300390.SZ,282528.95,12.55153630219424
300069.SZ,118638.0,11.683832118948885
300604.SZ,513827.5464,13.149642975299809
601117.SH,2861140.0,14.866730704774204
300710.SZ,160899.83,11.988537276423049
600734.SH,415885.0433,12.938164162833806
603607.SH,247883.328,12.420713462837137
000402.SZ,2071328.4256,14.543700710904702
300362.SZ,277057.4865,12.531980296128562
600565.SH,670888.9197,13.416358857838503
603388.SH,242431.0,12.398472412789129
000559.SZ,1569300.8888,14.266140784393821
600269.SH,941169.0266,13.75487802687906
300691.SZ,305071.5888,12.628301745424784
300563.SZ,188080.0,12.144622683213951
000010.SZ,308265.3721,12.638716288720728
603218.SH,728127.24,13.49823109212632
600036.SH,72507056.1029,18.09919444064632
600853.SH,248648.716,12.423796400244573
002912.SZ,863258.08,13.668468975185267
601188.SH,407922.357,12.918832133806088
002508.SZ,2198909.0555,14.603471911473843
300515.SZ,183470.48,12.11980906160088
002455.SZ,272963.931,12.517094944559243
600512.SH,394928.9995,12.886461279625367
300151.SZ,278887.5,12.538563753679666
000726.SZ,882930.4116,13.691001667420478
002813.SZ,300720.0,12.61393487823806
300696.SZ,265140.33,12.488014511977546
600479.SH,337735.2434,12.730017563972337
