ts_code,total_mv,ln_total_mv
600332.SH,4149018.5018,15.238382358644662
600113.SH,698689.8,13.456962145893836
600131.SH,631668.8192,13.356120515529234
002628.SZ,696120.907,13.453278641183537
600665.SH,480452.1217,13.082482859763932
000540.SZ,3150997.7762,14.963229714994954
300382.SZ,690121.6072,13.44462310336343
600774.SH,356657.5136,12.784531254636946
603318.SH,606330.6,13.315180660850576
000750.SZ,3376649.1196,15.032394390978595
002199.SZ,461323.2779,13.041854329794559
300109.SZ,995617.3445,13.811118270476902
000070.SZ,924503.753,13.737012389292694
600892.SH,1101584.9862,13.912260597218738
002290.SZ,612120.4963,13.324684431493377
002803.SZ,615380.0,13.329995242154448
603077.SH,2111471.6454,14.562895724613353
002027.SZ,16862088.655,16.640578385130926
002121.SZ,1145412.7768,13.95127563376007
000638.SZ,574246.4,13.260813851485112
002069.SZ,814223.4621,13.60999013077438
300099.SZ,519330.6758,13.160296099530088
002310.SZ,3999976.4466,15.201799030716828
300415.SZ,489840.0,13.101834086151836
002569.SZ,665047.5,13.407613745658521
600802.SH,375381.8137,12.835698956835843
002330.SZ,609428.0,13.320276091311174
603599.SH,710794.24,13.474138271684499
002810.SZ,611584.0,13.323807591805371
300090.SZ,1546984.8246,14.251818319940185
000613.SZ,513016.9,13.148064067080067
600365.SH,490000.0,13.102160670086809
603606.SH,496930.06,13.116204570830089
002140.SZ,700274.2184,13.459227277886665
002200.SZ,435842.5506,12.985036334633683
002068.SZ,538465.4097,13.196478538975065
002236.SZ,4122963.0179,15.232082641942284
300254.SZ,453903.132,13.025639088619032
002435.SZ,439956.0,12.994430000894111
601088.SH,35204628.2054,17.376688115033133
600860.SH,455338.0,13.028795279294146
600765.SH,1184120.8704,13.984511175702103
600729.SH,1018353.8048,13.83369796463092
300467.SZ,875192.2784,13.68219888794183
002529.SZ,606840.0,13.31602044386203
002585.SZ,792647.0444,13.583133312506458
600401.SH,1133984.4365,13.941248038748846
600891.SH,684902.6555,13.437031998386832
002463.SZ,885630.5146,13.694055116196687
603959.SH,771008.0,13.555454028626524
000839.SZ,4170695.2385,15.243593303739017
300274.SZ,1653048.045,14.318131441716526
600152.SH,354834.4878,12.779406728188535
300049.SZ,636792.3691,13.364198930243274
600540.SH,387569.8866,12.867651464030107
002686.SZ,704338.715,13.465014648695972
601311.SH,1615345.508,14.295059428599776
600358.SH,553915.516,13.224767455905443
002382.SZ,640684.08,13.370291759495707
600616.SH,577402.7334,13.266295280179676
000889.SZ,982486.3219,13.797841700898365
601519.SH,1707434.3,14.35050239238081
002094.SZ,1134376.4186,13.941593646991045
603067.SH,891440.0,13.700593411720936
601677.SH,908195.288,13.71921470934801
300379.SZ,1067439.6108,13.88077345180558
000685.SZ,1672776.272,14.32999524239529
600202.SH,492976.1042,13.108215981667554
603018.SH,749840.0,13.527615129420367
002795.SZ,703700.0,13.464107407954641
002030.SZ,1918864.4894,14.467244157280208
300239.SZ,396351.7329,12.890057310401575
601333.SH,3201758.724,14.979210818044503
000411.SZ,507630.0179,13.137508149992685
601158.SH,3844800.0,15.162232143964342
000979.SZ,1678120.2399,14.333184820116685
000021.SZ,1580132.5559,14.273019297623305
000875.SZ,909961.3975,13.721157457263594
002663.SZ,1067966.7448,13.88126716018977
002572.SZ,2638690.6808,14.785793397854091
600187.SH,981090.7297,13.796420221222935
300153.SZ,729920.0,13.50069021807816
000861.SZ,1154179.7082,13.958900440269248
002083.SZ,663748.0037,13.405657843925477
600196.SH,5777927.3237,15.569555581822602
002329.SZ,1350275.7364,14.115819378743772
600757.SH,1095926.1965,13.907110405262875
000615.SZ,969071.1831,13.784093348546339
002420.SZ,434283.0,12.981451674307559
300154.SZ,495276.0,13.112870461920798
002249.SZ,2325197.9553,14.65931573544373
300329.SZ,459106.6108,13.03703772961088
600249.SH,462000.0,13.043320170063875
600397.SH,557347.4136,13.230944047275917
000428.SZ,732607.794,13.504365768090898
600321.SH,1330794.55,14.101286727837039
600648.SH,2319518.2603,14.656870075658576
600967.SH,1082018.8187,13.89433913075118
600039.SH,1355859.9697,14.119946474967165
000031.SZ,1684956.6527,14.337250396037103
000738.SZ,3086360.4882,14.942503119146524
600888.SH,547606.8947,13.213312963076847
600340.SH,8134968.2899,15.911682400643658
603159.SH,615800.0,13.330677514472537
600812.SH,1117101.2394,13.926247709038227
300156.SZ,2662424.3579,14.794747678417837
002712.SZ,936644.68,13.750059279056709
000061.SZ,2141568.7333,14.577049171389884
002082.SZ,524076.0,13.1693919909541
601100.SH,1064070.0,13.877611736193378
300508.SZ,937302.72,13.750761582682783
300333.SZ,678384.0,13.427468778276042
600006.SH,1506000.0,14.224967687341977
002668.SZ,1258148.15,14.045151475604325
601099.SH,3817137.1672,15.155011266947552
600526.SH,735164.4745,13.507849527991054
002378.SZ,1069261.7235,13.88247899025631
002035.SZ,958435.456,13.773057500650676
600130.SH,794880.0,13.585946438847142
000692.SZ,346874.2674,12.756717651480606
000587.SZ,1667143.2241,14.326622075318799
002016.SZ,904568.9166,13.71521377394977
601899.SH,7797749.2013,15.869345686081338
002392.SZ,749099.6463,13.526627292769263
300061.SZ,743738.6189,13.519444933405568
000757.SZ,568591.0354,13.250916711982594
000876.SZ,3426288.828,15.046988259041305
002747.SZ,1042029.4859,13.856680798303914
002705.SZ,1015895.5581,13.831281104690905
601368.SH,972006.1963,13.787117458216496
300052.SZ,545309.6354,13.209109050664516
600624.SH,625142.0651,13.345734207048862
600720.SH,607835.2908,13.317659220957905
600562.SH,1603271.1974,14.287556598442496
601058.SH,1023095.9974,13.838343879631834
000009.SZ,2254662.8746,14.628511018456454
603322.SH,619200.0,13.336183601257654
600737.SH,2441732.6245,14.708218437281538
603300.SH,530995.4,13.182508637286364
002645.SZ,690959.1177,13.445835937034282
300527.SZ,1656466.0,14.3201969753077
300230.SZ,792525.99,13.582980579148511
000972.SZ,595430.923,13.297040662728428
000856.SZ,347310.0,12.757973031867884
