date,buy_avg_open_price,buy_margin,buy_pnl,buy_quantity,contract_multiplier,last_price,margin,margin_rate,order_book_id,sell_avg_open_price,sell_margin,sell_pnl,sell_quantity,symbol
2017-01-03,0.0,0.0,0.0,0.0,300.0,2299.0,3448500.0,0.1,IH88,2294.402,3448500.0,-68970.0,50.0,上证主力连续
2017-01-04,0.0,0.0,0.0,0.0,300.0,2313.6,3470400.0,0.1,IH88,2294.402,3470400.0,-287970.0,50.0,上证主力连续
2017-01-05,0.0,0.0,0.0,0.0,300.0,2312.8,3469200.0,0.1,IH88,2294.402,3469200.0,-275970.0,50.0,上证主力连续
2017-01-06,0.0,0.0,0.0,0.0,300.0,2303.8,3455700.0,0.1,IH88,2294.402,3455700.0,-140970.0,50.0,上证主力连续
2017-01-09,0.0,0.0,0.0,0.0,300.0,2312.2,3468300.0,0.1,IH88,2294.402,3468300.0,-266970.0,50.0,上证主力连续
2017-01-10,0.0,0.0,0.0,0.0,300.0,2307.4,3461100.0,0.1,IH88,2294.402,3461100.0,-194970.0,50.0,上证主力连续
2017-01-11,0.0,0.0,0.0,0.0,300.0,2298.6,3447900.0,0.1,IH88,2294.402,3447900.0,-62970.0,50.0,上证主力连续
2017-01-12,0.0,0.0,0.0,0.0,300.0,2290.8,3436200.0,0.1,IH88,2294.402,3436200.0,54030.0,50.0,上证主力连续
2017-01-13,0.0,0.0,0.0,0.0,300.0,2305.0,3457500.0,0.1,IH88,2294.402,3457500.0,-158970.0,50.0,上证主力连续
2017-01-16,0.0,0.0,0.0,0.0,300.0,2325.2,3487800.0,0.1,IH88,2294.402,3487800.0,-461970.0,50.0,上证主力连续
2017-01-17,0.0,0.0,0.0,0.0,300.0,2325.6,3488400.0,0.1,IH88,2294.402,3488400.0,-467970.0,50.0,上证主力连续
2017-01-18,0.0,0.0,0.0,0.0,300.0,2345.0,3517500.0,0.1,IH88,2294.402,3517500.0,-758970.0,50.0,上证主力连续
2017-01-19,0.0,0.0,0.0,0.0,300.0,2330.2,3495300.0,0.1,IH88,2294.402,3495300.0,-536970.0,50.0,上证主力连续
2017-01-20,0.0,0.0,0.0,0.0,300.0,2349.8,3524700.0,0.1,IH88,2294.402,3524700.0,-830970.0,50.0,上证主力连续
2017-01-23,0.0,0.0,0.0,0.0,300.0,2346.8,3520200.0,0.1,IH88,2294.402,3520200.0,-785970.0,50.0,上证主力连续
2017-01-24,0.0,0.0,0.0,0.0,300.0,2351.2,3526800.0,0.1,IH88,2294.402,3526800.0,-851970.0,50.0,上证主力连续
2017-01-25,0.0,0.0,0.0,0.0,300.0,2358.8,3538200.0,0.1,IH88,2294.402,3538200.0,-965970.0,50.0,上证主力连续
2017-01-26,0.0,0.0,0.0,0.0,300.0,2365.0,3547500.0,0.1,IH88,2294.402,3547500.0,-1058970.0,50.0,上证主力连续
2017-02-03,0.0,0.0,0.0,0.0,300.0,2342.0,3513000.0,0.1,IH88,2294.402,3513000.0,-713970.0,50.0,上证主力连续
2017-02-06,0.0,0.0,0.0,0.0,300.0,2341.8,3512700.0,0.1,IH88,2294.402,3512700.0,-710970.0,50.0,上证主力连续
2017-02-07,0.0,0.0,0.0,0.0,300.0,2333.8,3500700.0,0.1,IH88,2294.402,3500700.0,-590970.0,50.0,上证主力连续
2017-02-08,0.0,0.0,0.0,0.0,300.0,2344.0,3516000.0,0.1,IH88,2294.402,3516000.0,-743970.0,50.0,上证主力连续
2017-02-09,0.0,0.0,0.0,0.0,300.0,2351.2,3526800.0,0.1,IH88,2294.402,3526800.0,-851970.0,50.0,上证主力连续
2017-02-10,0.0,0.0,0.0,0.0,300.0,2363.0,3544500.0,0.1,IH88,2294.402,3544500.0,-1028970.0,50.0,上证主力连续
2017-02-13,0.0,0.0,0.0,0.0,300.0,2371.8,3557700.0,0.1,IH88,2294.402,3557700.0,-1160970.0,50.0,上证主力连续
2017-02-14,0.0,0.0,0.0,0.0,300.0,2365.0,3547500.0,0.1,IH88,2294.402,3547500.0,-1058970.0,50.0,上证主力连续
2017-02-15,0.0,0.0,0.0,0.0,300.0,2364.2,3546300.0,0.1,IH88,2294.402,3546300.0,-1046970.0,50.0,上证主力连续
2017-02-16,0.0,0.0,0.0,0.0,300.0,2368.2,3552300.0,0.1,IH88,2294.402,3552300.0,-1106970.0,50.0,上证主力连续
2017-02-17,0.0,0.0,0.0,0.0,300.0,2355.2,3532800.0,0.1,IH88,2294.402,3532800.0,-911970.0,50.0,上证主力连续
2017-02-20,0.0,0.0,0.0,0.0,300.0,2393.2,3589800.0,0.1,IH88,2294.402,3589800.0,-1481970.0,50.0,上证主力连续
2017-02-21,0.0,0.0,0.0,0.0,300.0,2388.6,3582900.0,0.1,IH88,2294.402,3582900.0,-1412970.0,50.0,上证主力连续
